Mindat_id,Deposit_type,age_category,Latitude,Longitude,macrostrat_class,macrostrat_status,glim_level1_code,glim_level1_description,glim_model_class,glim_status,glim_assignment_confidence,agreement_status,glim_overlap_ambiguous,lithology_C_class,lithology_C_status,lithology_C_source,lithology_C_confidence,lithology_C_reason
125.0,IOCG,Unknown,-19.7023545167,134.244931032,metamorphic,resolved,su,Unconsolidated sediments,other,other,low,macrostrat_resolved_glim_other,False,metamorphic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
126.0,Sediment-Hosted,Precambrian,-17.386763822239,131.11581797283,mafic,resolved,vb,Basic volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
132.0,IOCG,Precambrian,-21.540337655,140.498235602,felsic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_disagree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
134.0,IOCG,Precambrian,-20.7195375299,140.510681958,metamorphic,resolved,pb,Basic plutonic rocks,mafic,resolved,high,both_resolved_disagree,False,metamorphic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
140.0,VMS,Paleozoic,-23.642494444444,150.37543055556,felsic,resolved,py,Pyroclastics,volcanic,resolved,medium,both_resolved_disagree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
152.0,Sediment-Hosted,Precambrian,-33.6780555556,138.926388889,carbonate,resolved,sm,Mixed sedimentary rocks,other,other,low,macrostrat_resolved_glim_other,False,carbonate,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
163.0,Sediment-Hosted,Precambrian,-31.44388961792,137.14721679688,carbonate,resolved,su,Unconsolidated sediments,other,other,low,macrostrat_resolved_glim_other,False,carbonate,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
171.0,IOCG,Unknown,-33.908755555556,137.65188888889,felsic,resolved,su,Unconsolidated sediments,other,other,low,macrostrat_resolved_glim_other,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
231.0,VMS,Precambrian,-20.863855555556,117.83245555556,mafic,resolved,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,both_resolved_disagree,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
506.0,Magmatic sulfide,Precambrian,55.7197625842,-97.8353118896,felsic,resolved,mt,Metamorphics,metamorphic,resolved,high,both_resolved_disagree,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
511.0,VMS,Paleozoic,49.89466,-56.081527,mafic,resolved,vb,Basic volcanic rocks,volcanic,resolved,high,both_resolved_disagree,False,mafic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
559.0,VMS,Precambrian,46.4155555556,-81.3613888889,felsic,resolved,sm,Mixed sedimentary rocks,other,other,low,macrostrat_resolved_glim_other,False,felsic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
579.0,VMS,Precambrian,49.7197222222,-77.7180555556,volcanic,resolved,va,Acid volcanic rocks,volcanic,resolved,high,both_resolved_agree,False,volcanic,resolved,Macrostrat,original_rule_based,Macrostrat specific class retained
