Mindat_id,Amphiboles_pyroxenes,As_Sb_Bi_sulfosalts,Au_Ag_native,Barite,Borates,Carbonates,Clay_minerals,Cu_carbonates_silicates,Cu_oxides,Cu_sulfides_other,Cu_sulfides_primary,Cu_sulfides_supergene,Epidote_group,Evaporite_sulfates,Fe_oxides_hydroxides,Fe_sulfides,Feldspars,Halides_fluorite,Halides_other,Micas_sericite,Mn_oxides,Mo_sulfides,Native_elements_misc,Ni_Co_sulfides_arsenides,Other_accessory,Other_silicates,Oxides_misc,PGE_alloys_intermetallics,Pb_sulfides,Phosphates_apatite,Phosphates_other,Quartz,REE_accessory,Skarn_calc_silicates,Sulfates_other,Sulfides_misc,Ti_oxides,Zn_sulfides
125.0,0,3,1,0,0,2,0,0,0,7,1,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
126.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
132.0,0,0,1,1,0,3,0,2,2,1,2,1,0,2,3,2,1,1,1,1,0,1,2,0,0,11,0,0,0,1,0,1,0,3,0,0,0,0
134.0,0,0,1,1,0,4,0,4,2,1,1,2,0,0,4,1,1,2,4,0,0,0,1,0,0,1,0,0,0,1,7,1,0,1,3,0,0,0
140.0,0,3,2,0,0,1,0,2,0,1,2,3,0,1,3,3,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,5,1,1
152.0,0,0,1,1,0,4,2,2,2,2,2,3,0,1,2,1,3,0,2,0,3,0,1,0,0,8,0,0,0,1,2,1,0,0,3,0,0,1
163.0,0,1,0,0,0,1,0,2,1,5,2,3,0,2,0,1,0,0,4,0,0,0,0,2,0,3,0,0,1,0,0,1,0,0,6,0,0,1
171.0,0,0,1,0,0,8,1,2,2,1,2,2,0,1,1,3,0,1,2,1,0,1,1,4,0,3,0,0,1,1,1,1,0,2,6,1,0,1
231.0,0,1,2,1,0,3,1,2,2,4,1,2,0,1,3,2,0,0,3,1,0,0,2,4,0,3,1,0,2,0,4,1,0,1,15,1,1,1
506.0,0,3,1,0,0,2,0,0,0,1,1,0,1,0,3,3,2,0,0,1,0,0,3,7,0,14,3,1,0,0,0,1,0,3,0,1,1,1
511.0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
559.0,0,5,2,0,0,2,0,0,1,1,2,2,0,0,1,2,1,0,0,0,0,1,2,12,0,3,1,0,2,0,0,1,0,1,6,2,2,1
579.0,1,1,0,0,0,4,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,3,0,7,0,0,2,0,0,0,0,2,0,2,0,1
609.0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,6,0,1
641.0,0,0,2,1,1,8,1,2,3,6,2,3,0,2,11,2,2,0,8,1,4,1,1,0,0,7,0,0,1,1,7,1,0,1,60,1,1,1
648.0,0,0,1,0,0,2,2,0,0,0,1,0,0,1,3,1,0,0,2,0,0,0,1,0,0,5,0,0,0,1,3,1,0,1,4,0,0,0
721.0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,1,0,0,1,5,0,2,0,3,1,0,0,1,0,0,0,1,0,0
730.0,0,8,1,0,0,3,0,0,0,1,2,0,0,0,6,2,1,0,0,1,0,0,1,12,3,4,0,3,1,0,0,1,0,3,0,2,0,1
1666.0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,3,3,0,0,0,0,0,1,2,9,0,5,3,0,1,0,0,1,0,1,0,0,0,1
1728.0,0,2,2,1,0,7,2,6,2,6,2,3,0,2,5,3,0,2,1,1,2,1,4,4,0,11,4,0,3,0,6,1,0,2,28,1,1,1
