Mindat_id,Borates,Carbonates_nitrates,Halides,Native_elements,Other_unknown,Oxides_hydroxides,Phosphates_arsenates_vanadates,Silicates,Sulfates_chromates_molybdates_tungstates,Sulfides_and_analogues,Sulfosalts
125.0,0,2,0,2,0,2,0,3,0,3,11
126.0,0,1,0,0,0,2,0,4,0,0,0
132.0,0,5,2,3,0,5,1,17,3,7,0
134.0,0,8,6,2,0,6,8,4,4,5,0
140.0,0,3,0,3,0,6,0,2,2,17,4
152.0,0,6,2,2,0,7,3,14,5,9,0
163.0,0,3,4,0,0,1,0,4,8,12,4
171.0,0,10,3,2,0,3,2,8,7,15,1
231.0,0,5,3,4,0,7,4,7,17,9,9
506.0,0,2,0,5,0,7,0,22,0,13,4
511.0,0,0,0,1,0,2,0,3,0,6,0
559.0,0,2,0,4,0,5,0,6,6,21,9
579.0,0,4,0,0,0,2,0,11,0,9,3
609.0,0,0,0,1,0,1,0,6,0,15,1
641.0,1,10,8,3,0,19,8,13,63,13,4
648.0,0,2,2,2,0,3,4,9,5,2,0
721.0,0,0,0,5,0,3,0,4,0,9,3
730.0,0,3,0,5,3,6,0,10,0,20,9
1666.0,0,0,0,3,0,6,0,7,0,16,2
1728.0,0,13,3,6,0,14,6,17,31,16,10
2120.0,0,4,0,2,0,5,0,9,3,11,3
2214.0,0,6,5,3,0,4,3,3,5,14,3
2355.0,0,1,0,0,0,4,3,8,6,9,1
2461.0,0,5,0,2,0,3,0,9,0,15,4
2567.0,0,0,0,2,0,0,0,2,2,8,5
2596.0,1,8,3,3,0,6,2,18,10,10,10
2725.0,0,1,0,8,1,4,0,4,1,32,9
2751.0,0,8,12,18,4,16,4,30,5,80,14
2778.0,0,4,1,3,0,9,2,5,9,23,4
3063.0,0,0,1,2,0,2,0,5,0,11,1
3064.0,0,0,0,3,0,0,0,1,0,11,1
3075.0,0,0,0,3,0,2,0,4,0,20,3
3123.0,0,7,2,3,0,9,2,6,30,13,8
3326.0,0,9,4,2,0,7,1,38,9,11,0
3346.0,0,6,1,4,0,7,0,9,19,11,1
3373.0,0,1,0,1,0,4,0,6,0,8,0
3374.0,0,9,2,1,0,4,6,15,9,6,0
3376.0,0,8,3,1,0,8,4,25,9,9,1
3377.0,0,4,2,3,0,9,4,21,8,8,0
3856.0,0,7,4,4,0,4,0,10,2,16,0
3978.0,0,5,0,2,0,6,8,12,3,10,1
4181.0,0,11,1,5,0,8,5,23,10,21,8
4322.0,0,12,0,3,0,16,12,10,9,26,1
4331.0,0,4,0,0,0,2,4,3,0,0,0
4342.0,0,0,0,0,0,0,1,0,0,0,0
4343.0,0,2,0,1,0,1,0,1,1,0,0
4345.0,0,3,0,1,0,2,0,6,2,5,1
4346.0,0,1,0,1,0,0,2,1,0,0,0
4349.0,0,3,0,1,0,2,3,8,2,10,0
4350.0,0,2,0,0,0,2,2,3,0,3,0
4364.0,0,0,0,2,0,2,0,3,2,10,1
4381.0,0,5,1,4,0,3,2,16,1,32,16
4464.0,0,2,2,1,0,5,21,4,9,7,1
4496.0,0,9,0,3,0,7,8,12,10,17,2
4555.0,0,5,1,2,0,3,0,2,8,6,1
5436.0,0,6,2,2,0,15,4,21,14,15,2
5774.0,1,8,3,3,0,10,6,16,12,26,8
5792.0,0,6,2,3,0,12,0,19,5,11,3
5793.0,0,1,0,1,0,3,0,2,0,8,1
5798.0,0,1,0,1,0,1,0,7,0,7,0
6001.0,0,0,0,0,0,1,0,2,0,6,0
6771.0,0,2,0,0,0,8,0,20,0,6,0
6926.0,0,2,1,0,0,0,0,12,2,15,6
7314.0,0,2,0,0,0,0,0,1,0,5,0
7372.0,0,0,0,0,0,0,0,3,0,1,0
7376.0,0,0,0,0,0,0,0,3,0,1,0
7377.0,0,0,0,0,0,0,0,2,0,3,0
7378.0,0,0,0,0,0,0,0,4,0,6,0
7797.0,0,10,2,5,0,11,1,24,7,21,4
7971.0,0,4,0,0,0,1,1,1,3,4,0
8049.0,0,0,0,2,0,3,0,0,0,16,8
8064.0,0,2,0,1,0,3,0,8,4,6,0
8082.0,0,2,4,5,0,5,0,13,1,29,10
8182.0,0,0,0,0,0,1,0,0,0,10,0
8302.0,0,3,0,0,0,1,0,3,2,8,1
8417.0,0,5,0,1,0,4,5,8,8,11,0
8418.0,0,2,0,1,0,1,0,3,0,4,1
8428.0,0,0,0,0,0,0,0,3,0,4,0
8563.0,0,0,0,0,0,0,0,1,2,3,0
8577.0,0,2,0,1,0,2,0,5,3,8,0
8582.0,0,2,0,2,0,2,0,4,3,8,1
8587.0,0,4,0,0,0,1,0,1,8,6,3
8588.0,0,0,0,1,0,2,0,3,0,10,0
8667.0,0,3,0,0,0,6,0,15,1,8,0
8700.0,0,2,1,1,0,1,0,1,2,4,0
8701.0,0,0,0,0,0,3,0,1,0,9,2
8744.0,0,5,1,1,0,3,0,1,1,5,0
8794.0,0,1,0,0,0,0,0,4,0,4,0
8802.0,0,2,0,1,0,2,0,4,3,8,1
8831.0,0,0,0,1,0,3,0,5,2,10,0
8859.0,0,3,0,1,0,4,0,2,2,10,1
8875.0,0,3,1,2,0,2,0,5,4,7,2
8886.0,0,3,1,2,0,7,0,12,5,16,6
8905.0,0,2,0,3,0,3,1,3,9,12,4
8906.0,0,5,0,3,0,4,0,10,5,10,5
8945.0,0,1,0,1,0,1,0,2,11,8,1
9014.0,0,3,0,0,0,1,0,0,2,2,0
9386.0,0,0,0,6,0,4,0,3,1,26,9
