Mindat_id,n_minerals_total,n_minerals_mapped,n_families_primary,n_families_copper,pct_mapped
125.0,23,23,6,12,100.0
126.0,7,7,3,4,100.0
132.0,43,43,8,21,100.0
134.0,43,43,8,20,100.0
140.0,37,37,7,22,100.0
152.0,48,48,8,22,100.0
163.0,36,36,7,16,100.0
171.0,51,51,9,26,100.0
231.0,65,65,9,27,100.0
506.0,53,53,6,20,100.0
511.0,12,12,4,9,100.0
559.0,53,53,7,22,100.0
579.0,30,29,5,13,96.7
609.0,24,24,5,15,100.0
641.0,142,142,10,29,100.0
648.0,29,29,8,15,100.0
721.0,24,24,5,13,100.0
730.0,56,56,7,19,100.0
1666.0,34,34,5,14,100.0
1728.0,117,116,9,30,99.1
2120.0,37,37,7,22,100.0
2214.0,46,46,9,19,100.0
2355.0,32,32,7,19,100.0
2461.0,38,38,6,19,100.0
2567.0,19,19,5,13,100.0
2596.0,71,71,10,24,100.0
2725.0,60,60,8,20,100.0
2751.0,191,191,10,26,100.0
2778.0,60,60,9,22,100.0
3063.0,22,22,6,10,100.0
3064.0,16,16,4,8,100.0
3075.0,32,32,5,14,100.0
3123.0,80,80,9,25,100.0
3326.0,81,81,8,25,100.0
3346.0,58,58,8,23,100.0
3373.0,20,20,5,14,100.0
3374.0,52,52,8,22,100.0
3376.0,68,68,9,23,100.0
3377.0,59,59,8,24,100.0
3856.0,47,47,7,25,100.0
3978.0,47,47,8,23,100.0
4181.0,92,92,9,30,100.0
4322.0,89,89,8,22,100.0
4331.0,13,13,4,7,100.0
4342.0,1,1,1,1,100.0
4343.0,6,6,5,5,100.0
4345.0,20,20,7,14,100.0
4346.0,5,5,4,4,100.0
4349.0,29,29,7,18,100.0
4350.0,12,12,5,10,100.0
4364.0,20,20,6,13,100.0
4381.0,80,80,9,23,100.0
4464.0,52,52,9,19,100.0
4496.0,68,68,8,26,100.0
4555.0,28,28,8,16,100.0
5436.0,81,81,9,29,100.0
5774.0,93,93,10,33,100.0
5792.0,61,61,8,26,100.0
5793.0,16,16,6,12,100.0
5798.0,17,17,5,14,100.0
6001.0,9,9,3,8,100.0
6771.0,37,36,4,14,97.3
6926.0,38,38,6,17,100.0
7314.0,8,8,3,7,100.0
7372.0,4,4,2,4,100.0
7376.0,4,4,2,4,100.0
7377.0,5,5,2,5,100.0
7378.0,10,10,2,10,100.0
7797.0,85,85,9,25,100.0
7971.0,14,14,6,10,100.0
8049.0,29,29,4,11,100.0
8064.0,24,24,6,17,100.0
8082.0,69,69,8,21,100.0
8182.0,11,11,2,6,100.0
8302.0,18,18,6,14,100.0
8417.0,42,42,7,20,100.0
8418.0,12,12,6,11,100.0
8428.0,7,7,2,6,100.0
8563.0,6,6,3,6,100.0
8577.0,21,21,6,14,100.0
8582.0,22,22,7,16,100.0
8587.0,23,23,6,14,100.0
8588.0,16,16,4,11,100.0
8667.0,33,33,5,15,100.0
8700.0,12,12,7,10,100.0
8701.0,15,15,4,7,100.0
8744.0,17,17,7,12,100.0
8794.0,9,9,3,8,100.0
8802.0,21,21,7,15,100.0
8831.0,21,21,5,15,100.0
8859.0,23,23,7,15,100.0
8875.0,26,26,8,21,100.0
8886.0,52,52,8,25,100.0
8905.0,37,37,8,18,100.0
8906.0,42,42,7,20,100.0
8945.0,25,25,7,14,100.0
9014.0,8,8,4,6,100.0
9386.0,49,49,6,17,100.0
9496.0,75,75,9,22,100.0
9552.0,22,22,5,16,100.0
9592.0,10,10,4,9,100.0
9697.0,30,30,5,16,100.0
9702.0,51,51,8,21,100.0
