vocab,K,seed,log_lik_per_doc,perplexity
family_primary,4,42,-36.94,6.44
family_primary,4,123,-36.99,6.45
family_primary,4,7,-37.01,6.46
family_primary,5,42,-37.37,6.58
family_primary,5,123,-37.37,6.58
family_primary,5,7,-37.29,6.55
family_primary,6,42,-37.66,6.68
family_primary,6,123,-37.63,6.67
family_primary,6,7,-37.61,6.66
family_primary,7,42,-38.05,6.81
family_primary,7,123,-37.89,6.75
family_primary,7,7,-37.86,6.74
family_primary,8,42,-38.25,6.88
family_primary,8,123,-38.23,6.87
family_primary,8,7,-38.1,6.82
family_primary,9,42,-38.61,7.0
family_primary,9,123,-38.49,6.96
family_primary,9,7,-38.47,6.95
family_primary,10,42,-38.61,7.0
family_primary,10,123,-38.7,7.03
family_primary,10,7,-38.36,6.91
family_primary,11,42,-38.67,7.02
family_primary,11,123,-38.82,7.08
family_primary,11,7,-38.66,7.02
family_primary,12,42,-38.91,7.11
family_primary,12,123,-38.79,7.07
family_primary,12,7,-38.78,7.06
family_copper,4,42,-63.79,24.92
family_copper,4,123,-63.74,24.85
family_copper,4,7,-63.7,24.81
family_copper,5,42,-64.15,25.37
family_copper,5,123,-64.04,25.23
family_copper,5,7,-63.93,25.1
family_copper,6,42,-64.41,25.71
family_copper,6,123,-64.3,25.57
family_copper,6,7,-64.14,25.36
family_copper,7,42,-64.43,25.74
family_copper,7,123,-64.42,25.73
family_copper,7,7,-64.32,25.6
family_copper,8,42,-64.69,26.08
family_copper,8,123,-64.44,25.75
family_copper,8,7,-64.48,25.8
family_copper,9,42,-64.97,26.44
family_copper,9,123,-64.83,26.26
family_copper,9,7,-64.74,26.14
family_copper,10,42,-65.15,26.69
family_copper,10,123,-65.13,26.66
family_copper,10,7,-65.11,26.63
family_copper,11,42,-65.53,27.2
family_copper,11,123,-65.48,27.13
family_copper,11,7,-65.36,26.97
family_copper,12,42,-65.64,27.36
family_copper,12,123,-65.54,27.22
family_copper,12,7,-65.22,26.78
