Mindat_id,latitude,longitude,litho_raw,litho_class,api_status
641.0,-22.2894444444,-68.9011111111,sedimentary rocks,other,ok
2120.0,40.533055555556,8.3341666666667,limestone; sedimentary rocks,carbonate,ok
2355.0,30.320611061173,-109.56493377686,acidic igneous intrusive; volcanic: felsic rocks; ignimbrite(s); felsic volcanic rocks,felsic,ok
2596.0,44.7377777778,21.7025,"Major:{limestone}, Minor{dolomite/dolostone,conglomerate,sandstone}; sedimentary rocks",carbonate,ok
3326.0,33.0583333333,-110.745833333,"plutonic: felsic and intermediate rocks; sedimentary rocks; Major:{sandstone,shale,limestone}; limestone",carbonate,ok
3373.0,31.9822222222,-111.063055556,"sedimentary rocks; Major:{sand,silt,clay}; sedimentary",other,ok
3374.0,32.4,-111.5,"Major:{rhyolite,dacite,andesite}, Minor:{clastic}; rhyolite; volcanic; sedimentary rocks; volcanic: interlayered sedimentary and volcanic rocks",felsic,ok
3376.0,31.8930555556,-111.035,"sedimentary rocks; Major:{sand,silt,clay}; sedimentary",other,ok
3377.0,33.149444444444,-110.98722222222,"Major:{conglomerate,sandstone}, Minor:{mudstone,siltstone,limestone,gypsum}; limestone; plutonic: granite; sedimentary rocks",carbonate,ok
3978.0,32.79,-108.06731,"Major:{shale,sandstone}, Minor:{limestone}; shale; sedimentary; sedimentary rocks",carbonate,ok
4181.0,40.5222222222,-112.148611111,"volcanic: intermediate rocks; Forms Bingham and Last Chance stocks and associated intrusions at Bingham mine; medium- to dark-gray, augite-actinolite-phlogopite (quartz) monzonite; where altered, augite is replaced by actinolite, chlorite, phlogopite, and quartz, and some plagioclase; monzonite; Major:{monzonite,granodiorite}, Incidental:{monzodiorite, quartz monzonite, granite, diorite, quartz diorite, quartz monzodiorite}; sedimentary rocks",felsic,ok
4464.0,32.651040512379,-108.36550795271,"sedimentary; Major:{conglomerate sandstone,volcanic}; conglomerate; sedimentary rocks",volcanic,ok
5436.0,33.0905555556,-109.366111111,"volcanic rocks; Major:{granite,granodiorite,diorite}; granite; sedimentary",felsic,ok
5792.0,31.410301572411,97.73015250491,sedimentary rocks,other,ok
5793.0,31.0166666667,97.9166666667,sedimentary rocks,other,ok
5798.0,27.4,101.133333333,sedimentary rocks,other,ok
6926.0,44.9833333333,21.7833333333,"sedimentary rocks; Major:{limestone}, Minor{siltstone,sandstone,marl}",carbonate,ok
7314.0,0.0,0.0,,unknown,ok
7377.0,45.6,-70.3333333333,Major:{quartz monzonite}; sedimentary rocks; plutonic: undivided granitic rocks,felsic,ok
7378.0,45.5358333333,-70.2166666667,Major:{quartz monzonite}; intrusive igneous rocks; plutonic: undivided granitic rocks,felsic,ok
8064.0,38.4891666667,-113.1275,"Major:{granodiorite}, Minor:{granite}, Incidental:{quartz monzonite, quartz diorite}; volcanic: intermediate rocks; sedimentary rocks",felsic,ok
8417.0,40.8138888889,69.6463888889,sedimentary and volcanic rocks,volcanic,ok
8428.0,7.33333333333,126.15,sedimentary rocks,other,ok
8577.0,9.49166666667,122.679166667,sedimentary rocks,other,ok
8582.0,17.3444444444,121.058333333,sedimentary rocks,other,ok
8802.0,16.6377777778,120.676666667,sedimentary rocks,other,ok
8831.0,-6.31513109142,155.495322227,sedimentary rocks,other,ok
8859.0,49.879444444444,-120.00638888889,intrusive igneous rocks; plutonic: intermediate rocks; granodioritic intrusive rocks; granodiorite,felsic,ok
8886.0,-33.149265422398,-70.280914306641,volcanic rocks,volcanic,ok
9706.0,40.4722222222,23.7036111111,"Major:{gneiss}, Minor{phyllite,amphibolite,schist group}; metamorphic; crystalline metamorphic rocks",metamorphic,ok
9905.0,47.899009728278,20.089933276176,"Major:{limestone}, Minor{marl,dolomite/dolostone,sandstone}; limestone; intermediate-felsic volcanic rocks",carbonate,ok
10591.0,67.0725,20.9575,"Basalt, andesite and subordinate dacite, metamorphic; granite, monzonite, quartz monzonite, quartz monzodiorite; intrusive igneous rocks; meta-basalt group; metamorphic",felsic,ok
11307.0,48.9705555556,-65.5202777778,sedimentary rocks; sedimentary,other,ok
11459.0,34.4822222222,-111.856944444,"Major:{metasedimentary,metavolcanic,gneiss}; volcanic; plutonic: undivided granitic rocks; granodiorite; tonalite; volcanic rocks",volcanic,ok
11973.0,18.8808333333,-101.640833333,acidic igneous intrusive; plutonic: undivided granitic rocks; sedimentary and volcanic rocks,volcanic,ok
12054.0,63.7708333333,25.2338888889,"Major:{meta-sandstone}, Minor{mica schist,gneiss,amphibolite}; metamorphic; greywacke, phyllite, mica schist, meta-arkose, graphitic schist, paragneiss, conglomerate, amphibolite; mica schist; metasedimentary schist",siliciclastic,ok
12057.0,50.6,-127.477777778,mafic volcanic rocks; mixed volcanic and sedimentary rocks; basalt; volcanic: intermediate rocks,mafic,ok
12663.0,48.430248,18.769848,"Major:{andesite}, Minor{dacite,agglomerate/breccia group,tuffite group}; flow(s); intermediate volcanic rocks",felsic,ok
13770.0,40.5815094,45.790990633643,sedimentary and volcanic rocks,volcanic,ok
14115.0,19.0777777778,-102.031388889,acidic igneous intrusive; sedimentary and volcanic rocks; volcanic: mafic rocks,volcanic,ok
15187.0,22.0166666667,80.7166666667,sedimentary and volcanic rocks,volcanic,ok
15213.0,6.0270953261096,116.65560699783,carbonate-sandstone-conglomerate,carbonate,ok
15963.0,48.5225,-81.1163888889,ultramafic rocks; metasedimentary schist; volcanic: mafic rocks,mafic,ok
16033.0,42.601169444444,24.187177777778,"crystalline metamorphic rocks; Major:{gneiss}, Minor{migmatite/anatexite,mica schist,amphibolite}",metamorphic,ok
16242.0,47.51152,-121.3498,"granodiorite; Major:{granodiorite,granite}, Minor:{quartz diorite,quartz monzonite}, Incidental:{diorite, tonalite, hypabyssal dacite, hypabyssal andesite, hypabyssal rhyolite, gabbro}; granite; diorite; sedimentary; mafic volcanic rocks",felsic,ok
16510.0,22.123619596776,95.03357505746,sedimentary rocks,other,ok
17175.0,-5.2080348283979,141.13899815844,sedimentary rocks,other,ok
17816.0,48.1975,-120.978888889,"paragneiss/metavolcanic gneiss; granodiorite; Major:{granodiorite,granite}, Minor:{quartz diorite,quartz monzonite}, Incidental:{diorite, tonalite, hypabyssal dacite, hypabyssal andesite, hypabyssal rhyolite, gabbro}; granite; diorite; plutonic: intermediate rocks",felsic,ok
18255.0,47.4966666667,-121.36,"granodiorite; Major:{granodiorite,granite}, Minor:{quartz diorite,quartz monzonite}, Incidental:{diorite, tonalite, hypabyssal dacite, hypabyssal andesite, hypabyssal rhyolite, gabbro}; granite; diorite; sedimentary; mafic volcanic rocks",felsic,ok
18270.0,48.0086111111,-121.503611111,"sedimentary; metasedimentary and metavolcanic rocks; sedimentary rocks; Major:{arkose}, Minor:{conglomerate,shale}, Incidental:{coal, siltstone, volcanic}; siltstone",volcanic,ok
18441.0,30.3333333333,-109.633333333,intermediate igneous extrusive; volcanic: felsic rocks; ignimbrite(s); felsic volcanic rocks,felsic,ok
19949.0,50.9238888889,-121.421111111,alluvium; sedimentary rocks; marine sedimentary and volcanic rocks; diorite; volcanic: undivided volcanic rocks,volcanic,ok
21099.0,39.04741,-119.2407,"Major:{granitic,granodiorite,quartz monzonite}, Minor:{plutonic}; granite; volcanic: felsic rocks; sedimentary rocks",felsic,ok
21538.0,16.2627777778,120.6225,sedimentary rocks,other,ok
21589.0,29.945,55.8619444444,mafic-felsic mixed volcanic rocks; granite,felsic,ok
22183.0,48.9947222222,-119.477777778,"sedimentary; Major:{granite}, Minor:{granodiorite,quartz monzonite,tonalite,orthogneiss}, Incidental:{diorite, gabbro, schist, migmatite, syenite}; granite; granodiorite; intermediate intrusive igneous rocks; unclassified volcanic rocks",felsic,ok
22204.0,48.6144444444,-120.381944444,"plutonic: intermediate rocks; intermediate intrusive igneous rocks; Major:{sandstone}, Minor:{andesite}, Incidental:{siltstone, shale, conglomerate}; sandstone; sedimentary rocks",felsic,ok
22945.0,31.8708333333,-111.133333333,"Major:{sandstone,siltstone,conglomerate}, Minor:{felsic volcanic,limestone}; volcanic; volcanic: interlayered sedimentary and volcanic rocks; sedimentary rocks",volcanic,ok
23362.0,-29.0,-67.75,intrusive igneous rocks,other,ok
25120.0,42.546944444444,24.135833333333,"Major:{sandstone}, Minor{tuff group,andesite,tephrite group}; crystalline metamorphic rocks",felsic,ok
25121.0,42.75,24.0333333333,"Major:{sandstone}, Minor{tuff group,andesite,tephrite group}; crystalline metamorphic rocks",felsic,ok
25368.0,-17.245252375894,-70.613077242235,sedimentary rocks,other,ok
25411.0,0.0,0.0,,unknown,ok
25444.0,28.6322317118,-109.623084381,sedimentary; shale-sandstone; volcanic rocks,siliciclastic,ok
25581.0,8.5,-81.7833333333,volcanic: felsic and intermediate rocks; felsic volcanic rocks,felsic,ok
25845.0,29.858957075158,-109.95820999146,volcanic: felsic rocks; ignimbrite(s); felsic volcanic rocks; acidic igneous extrusive,felsic,ok
25904.0,46.3561111111,-122.080555556,"pebble breccia; flood basalt(s); mafic volcanic rocks; basalt; basalt; Major:{andesite,basalt}, Incidental:{arkose, shale, dacite, rhyolite, quartz latite}; dacite; volcanic; plutonic: undivided granitic rocks",mafic,ok
25949.0,44.123348392154,22.114625566226,andesite; volcanic rocks,felsic,ok
26155.0,49.018733427287,104.12498717579,volcanic and intrusive igneous rocks,volcanic,ok
26686.0,38.98351,-119.19408,"sedimentary rocks; Major:{granitic,granodiorite,quartz monzonite}, Minor:{plutonic}; granite; sedimentary",felsic,ok
27162.0,44.3833333333,21.95,limestone; volcanic rocks,carbonate,ok
27221.0,-26.4983333333,-69.3994444444,sedimentary rocks,other,ok
27227.0,-26.2444444444,-69.5575,sedimentary rocks,other,ok
27261.0,-4.0560167339,137.113198169,sedimentary rocks,other,ok
28230.0,33.4077777778,-110.954722222,"Major:{metasedimentary,schist}, Minor:{conglomerate,carbonate,sedimentary}; volcanic; schist; sedimentary rocks; plutonic: granite",carbonate,ok
28448.0,-27.3708333333,-66.28,sedimentary rocks,other,ok
28588.0,10.313948183707,123.71268376923,sedimentary rocks,other,ok
30204.0,50.6611111111,-120.515,plutonic: intermediate rocks; dioritic intrusive rocks; monzonite; sedimentary rocks,felsic,ok
30976.0,29.805,-104.4025,"Major:{sandstone mudstone}, Incidental:{limestone}; limestone; sedimentary; sedimentary rocks",carbonate,ok
32000.0,32.0275,-111.080555556,"sedimentary rocks; Major:{sand,silt,clay}; sedimentary",other,ok
32440.0,32.10292,-110.06876,"Major:{shale,sandstone,quartzite}, Minor:{limestone,basalt,black shale}, Incidental:{conglomerate}; basalt; quartzite; plutonic: undivided granitic rocks; sedimentary rocks",mafic,ok
33219.0,31.7705555556,-110.424166667,"Major:{granite,granodiorite,diorite}; granite; volcanic: interlayered sedimentary and volcanic rocks; sedimentary rocks",felsic,ok
33241.0,64.9872222222,19.7716666667,"meta-rhyolite; metamorphic; Rhyolite, dacite, metamorphic; volcanic rocks; felsic and intermediate volcanic rocks",felsic,ok
34975.0,-27.3297222222,-66.6088888889,sedimentary rocks,other,ok
36818.0,-30.241578766321,-71.102801250415,sedimentary rocks,other,ok
37441.0,35.3674943,-114.1410656,"sedimentary rocks; Major:{granite,granodiorite,diorite}; granite; plutonic: undivided granitic rocks",felsic,ok
39272.0,-24.272220317269,-69.068275471678,sedimentary rocks,other,ok
39273.0,-20.98305202099,-68.673347057618,sedimentary rocks,other,ok
39275.0,-21.9205555556,-68.8325,sedimentary rocks,other,ok
43582.0,-8.9656674438947,116.86724497085,mafic-intermediate volcanic rocks,mafic,ok
43585.0,-0.5,113.183333333,sedimentary rocks,other,ok
43642.0,34.5811111111,-113.203888889,"sedimentary rocks; Major:{granite,granodiorite,tonalite}, Minor:{quartz diorite,diorite,gabbro}; granite; plutonic: undivided granitic rocks",felsic,ok
44124.0,32.96821,-107.5417,"Major:{andesite,dacite}; lava; sedimentary; volcanic rocks",volcanic,ok
46163.0,0.0,0.0,,unknown,ok
47606.0,42.66526992821,75.579408637148,sedimentary rocks,other,ok
50863.0,32.67,-110.67,"Major:{conglomerate,sandstone}, Minor:{mudstone,sedimentary breccia,limestone}; limestone; sedimentary; sedimentary rocks",carbonate,ok
51058.0,32.5230555556,-111.901944444,"volcanic: interlayered sedimentary and volcanic rocks; Major:{granite,granodiorite,diorite}; granite; sedimentary rocks",felsic,ok
52775.0,33.061157395057,-111.40899089207,"sedimentary rocks; sedimentary; Major:{silt,clay}, Minor:{gravel,sand}",other,ok
53487.0,32.954448464616,-111.81661605835,"sedimentary rocks; Major:{granite,granodiorite,diorite}; granite; sedimentary",felsic,ok
54260.0,-22.85357,-69.34511,sedimentary rocks,other,ok
54489.0,43.0927777778,-111.322777778,"sedimentary; Major:{granodiorite,quartz monzodiorite,granite}, Minor:{diorite,hypabyssal dacite,syenite,hypabyssal rhyolite}; granite; sedimentary rocks",felsic,ok
55427.0,-17.0455555556,-70.7072222222,sedimentary rocks,other,ok
55597.0,-16.5352777778,-71.5916666667,intrusive igneous rocks,other,ok
58352.0,-18.0416666667,178.175,mafic-intermediate volcanic rocks,mafic,ok
59571.0,40.6875,-117.083333333,"flood basalt(s); mafic volcanic rocks; basalt; basalt; Major:{coarse alluvium,fine alluvium}; volcanic: interlayered sedimentary and volcanic rocks",mafic,ok
60113.0,40.548538,-117.13252,"volcanic: interlayered sedimentary and volcanic rocks; Major:{siliciclastic,volcanic}, Minor:{carbonate,argillite,chert,basalt}; basalt; sedimentary rocks",mafic,ok
60164.0,40.6119444444,-117.036111111,"Major:{sandstone,shale,siltstone}, Incidental:{limestone}; limestone; sedimentary; sedimentary rocks",carbonate,ok
61612.0,0.0,0.0,,unknown,ok
62248.0,41.5105555556,22.6019444444,crystalline metamorphic rocks,metamorphic,ok
62514.0,33.0666666667,-110.796111111,"sedimentary; sedimentary rocks; Major:{shale,sandstone,quartzite}, Minor:{limestone,basalt,black shale}, Incidental:{conglomerate}; basalt; quartzite",mafic,ok
63180.0,35.4833333333,-115.133333333,"metamorphic and undivided crystalline: sedimentary and volcanic gneiss; sedimentary rocks; Major:{gneiss,schist}",volcanic,ok
63563.0,33.535833,54.544444,sedimentary rocks,other,ok
64292.0,29.681789169728,115.80344526855,sedimentary rocks,other,ok
64347.0,39.03,-119.18,"sedimentary; Major:{coarse alluvium,fine alluvium}; sedimentary rocks",other,ok
64759.0,29.9997222222,114.837777778,sedimentary rocks,other,ok
68257.0,46.314033189009,23.169895112514,"crystalline metamorphic rocks; Major:{conglomerate}, Minor{sandstone,limestone,marl}",metamorphic,ok
68700.0,32.5891666667,-112.053888889,"sedimentary rocks; sedimentary; Major:{arenite,conglomerate}, Minor:{limestone}; limestone",carbonate,ok
69552.0,9.8035347634699,122.45720684612,sedimentary rocks,other,ok
86332.0,40.2166666667,-120.783333333,"intrusive igneous rocks; Major:{granodiorite}, Minor:{granite,tonalite,quartz diorite,quartz monzonite}, Incidental:{diorite, quartz syenite, quartz monzodiorite, gabbro, trondhjemite, monzonite, monzodiorite, pegmatite, alaskite, aplite}; granite; granodiorite; plutonic: undivided granitic rocks",felsic,ok
107252.0,46.0108333333,-112.48,"Major:{granite}; plutonic: undivided granitic rocks; intrusive igneous rocks; Major:: {biotite-hornblende granodiorite, biotite-hornblende monzogranite, tonalite}",felsic,ok
108197.0,-20.0447222222,-69.2597222222,intermediate-felsic volcanic rocks,felsic,ok
