Mindat_id,Deposit_type,age_category,litho_class,Latitude,Longitude,age_midpoint_ma,lithology_status,macro_latitude,macro_longitude,macro_litho_raw,macro_litho_class,api_status,n_minerals_total,n_minerals_mapped,n_families_primary,n_families_copper,pct_mapped,age_status,continent_approx_original
125.0,IOCG,Unknown,metamorphic,-19.7023545167,134.244931032,,resolved,-19.7023545167,134.244931032,intrusive igneous rocks; sedimentary; metamorphic,metamorphic,ok,23,23,6,12,100.0,unknown,Oceania
126.0,Sediment-Hosted,Precambrian,mafic,-17.386763822239,131.11581797283,630.0,resolved,-17.386763822239,131.11581797283,igneous mafic volcanic; basalt; sandstone; volcanic; mafic volcanic rocks,mafic,ok,7,7,3,4,100.0,resolved,Oceania
132.0,IOCG,Precambrian,felsic,-21.540337655,140.498235602,1532.5,resolved,-21.540337655,140.498235602,rhyolite; intrusive igneous rocks; sedimentary; metamorphic,felsic,ok,43,43,8,21,100.0,resolved,Oceania
134.0,IOCG,Precambrian,metamorphic,-20.7195375299,140.510681958,1532.5,resolved,-20.7195375299,140.510681958,medium grade metamorphic rock; schist; amphibolite grade orthogneiss/paragneiss/metavolcanic gneiss; diorite; gabbro,metamorphic,ok,43,43,8,20,100.0,resolved,Oceania
140.0,VMS,Paleozoic,felsic,-23.642494444444,150.37543055556,390.0,resolved,-23.642494444444,150.37543055556,"andesite; chert,phyllite,sandstone,shale,limestone,siltstone,schist; igneous mafic volcanic; igneous felsic volcanic; felsic",felsic,ok,37,37,7,22,100.0,resolved,Oceania
152.0,Sediment-Hosted,Precambrian,carbonate,-33.6780555556,138.926388889,630.0,resolved,-33.6780555556,138.926388889,"sedimentary; metamorphic; dolomite; sandstone,shale,limestone,siltstone,tillite,dolomite",carbonate,ok,48,48,8,22,100.0,resolved,Oceania
163.0,Sediment-Hosted,Precambrian,carbonate,-31.44388961792,137.14721679688,630.0,resolved,-31.44388961792,137.14721679688,"sandstone,shale,limestone,siltstone,tillite,dolomite; sedimentary; metamorphic",carbonate,ok,36,36,7,16,100.0,resolved,Oceania
171.0,IOCG,Unknown,felsic,-33.908755555556,137.65188888889,,resolved,-33.908755555556,137.65188888889,intrusive igneous rocks; igneous felsic intrusive; granite,felsic,ok,51,51,9,26,100.0,unknown,Oceania
231.0,VMS,Precambrian,mafic,-20.863855555556,117.83245555556,3200.0,resolved,-20.863855555556,117.83245555556,rhyolite; igneous mafic volcanic; basalt; mafic-ultramafic volcanic rocks,mafic,ok,65,65,9,27,100.0,resolved,Oceania
506.0,Magmatic sulfide,Precambrian,felsic,55.7197625842,-97.8353118896,1847.0,resolved,55.7197625842,-97.8353118896,plutonic: tonalite; intrusive igneous rocks; ortho- and paragneiss; aplite,felsic,ok,53,53,6,20,100.0,resolved,North_America
511.0,VMS,Paleozoic,mafic,49.89466,-56.081527,464.5,resolved,49.89466,-56.081527,volcanic: mafic rocks; mafic volcanic rocks; gabbro,mafic,ok,12,12,4,9,100.0,resolved,North_America
559.0,VMS,Precambrian,felsic,46.4155555556,-81.3613888889,1500.0,resolved,46.4155555556,-81.3613888889,"mafic, intermediate and felsic metavolcanic rocks, intercalated metasedimentary rocks and epiclastic rocks; mudstone; plutonic: mafic rocks",felsic,ok,53,53,7,22,100.0,resolved,North_America
579.0,VMS,Precambrian,volcanic,49.7197222222,-77.7180555556,2725.0,resolved,49.7197222222,-77.7180555556,intermediate volcanic rocks; volcanic: undivided volcanic rocks,volcanic,ok,30,29,5,13,96.7,resolved,North_America
609.0,VMS,Unknown,volcanic,48.25427,-79.011281,,resolved,48.25427,-79.011281,intermediate volcanic rocks; volcanic: undivided volcanic rocks,volcanic,ok,24,24,5,15,100.0,unknown,North_America
641.0,Porphyry,Cenozoic,other,-22.2894444444,-68.9011111111,33.035,other,-22.2894444444,-68.9011111111,sedimentary rocks,other,ok,142,142,10,29,100.0,resolved,South_America
648.0,VMS,Mesozoic,other,-27.5902777778,-70.35,150.5,other,-27.5902777778,-70.35,sedimentary rocks,other,ok,29,29,8,15,100.0,resolved,South_America
721.0,Magmatic sulfide,Paleozoic,other,41.992858333333,110.12308055556,367.0,other,41.992858333333,110.12308055556,intrusive igneous rocks,other,ok,24,24,5,13,100.0,resolved,Asia
730.0,Magmatic sulfide,Mesozoic,other,30.6986111111,101.909722222,250.2,other,30.6986111111,101.909722222,sedimentary rocks,other,ok,56,56,7,19,100.0,resolved,Asia
1666.0,VMS,Precambrian,siliciclastic,62.761111111111,29.0925,1800.0,resolved,62.761111111111,29.0925,"Major:{meta-sandstone}, Minor{mica schist,gneiss,amphibolite}; metamorphic; greywacke, phyllite, mica schist, meta-arkose, graphitic schist, paragneiss, conglomerate, amphibolite; mica schist; metasedimentary schist",siliciclastic,ok,34,34,5,14,100.0,resolved,Europe
1728.0,VMS,Paleozoic,felsic,45.8958333333,4.61277777778,406.0,resolved,45.8958333333,4.61277777778,andesite [50.0%..95.0%]; schist [5.0%..50.0%]; tuffite [5.0%..50.0%]; granite; sedimentary rocks,felsic,ok,117,116,9,30,99.1,resolved,Europe
2120.0,Porphyry,Cenozoic,carbonate,40.533055555556,8.3341666666667,30.5,resolved,40.533055555556,8.3341666666667,limestone; sedimentary rocks,carbonate,ok,37,37,7,22,100.0,resolved,Europe
2214.0,Sediment-Hosted,Paleozoic,unknown,0.0,0.0,320.0,unknown,0.0,0.0,,unknown,ok,46,46,9,19,100.0,resolved,Africa
2355.0,Porphyry,Cenozoic,felsic,30.320611061173,-109.56493377686,53.8,resolved,30.320611061173,-109.56493377686,acidic igneous intrusive; volcanic: felsic rocks; ignimbrite(s); felsic volcanic rocks,felsic,ok,32,32,7,19,100.0,resolved,North_America
2461.0,VMS,Precambrian,volcanic,69.2833333333,22.4833333333,1520.5,resolved,69.2833333333,22.4833333333,"metavolcanic gneiss; tholeiitic basalt, trachyandesite, trachytic basalt, dacite, rhyolite, picrobasalt, quartzite-conglomerate, dolomite; tholeiitic basalt",volcanic,ok,38,38,6,19,100.0,resolved,Europe
2567.0,VMS,Cenozoic,other,16.859871411637,120.77577662768,1.4300000000000002,other,16.859871411637,120.77577662768,sedimentary rocks,other,ok,19,19,5,13,100.0,resolved,Asia
2596.0,Porphyry,Mesozoic,carbonate,44.7377777778,21.7025,69.05,resolved,44.7377777778,21.7025,"Major:{limestone}, Minor{dolomite/dolostone,conglomerate,sandstone}; sedimentary rocks",carbonate,ok,71,71,10,24,100.0,resolved,Europe
2725.0,Magmatic sulfide,Precambrian,metamorphic,67.922425,32.838977777778,2496.5,resolved,67.922425,32.838977777778,"Major:{mica schist}, Minor{gneiss,amphibolite}; metamorphic; intrusive igneous rocks; gabbro, monzodiorite, mafic dykes and sills, anorthosite, peridotite",metamorphic,ok,60,60,8,20,100.0,resolved,Europe
2751.0,Magmatic sulfide,Mesozoic,carbonate,69.4918008,88.4238928,232.3,resolved,69.4918008,88.4238928,"sandstone, siltstone, shale, limestone; ; Major:{limestone}, Minor{dolomite/dolostone,andesite}; sedimentary rocks",carbonate,ok,191,191,10,26,100.0,resolved,Asia
2778.0,Sediment-Hosted,Precambrian,metamorphic,56.5833333333,118.5,2100.0,resolved,56.5833333333,118.5,crystalline metamorphic rocks,metamorphic,ok,60,60,9,22,100.0,resolved,Asia
3063.0,Magmatic sulfide,Precambrian,unknown,0.0,0.0,2060.0,unknown,0.0,0.0,,unknown,ok,22,22,6,10,100.0,resolved,Africa
3064.0,Magmatic sulfide,Unknown,mafic,-24.2972222,29.8791667,,resolved,-24.2972222,29.8791667,plutonic; gabbro; intrusive igneous rocks,mafic,ok,16,16,4,8,100.0,unknown,Africa
3075.0,Magmatic sulfide,Unknown,mafic,-30.716666666667,29.299722222222,,resolved,-30.716666666667,29.299722222222,sedimentary (karoo); sedimentary rocks; dolerite,mafic,ok,32,32,5,14,100.0,unknown,Africa
3123.0,VMS,Paleozoic,carbonate,37.699166666667,-6.5708333333333,350.0,resolved,37.699166666667,-6.5708333333333,"sedimentary rocks; conglomerate, sandstone, slate and limestone. coal; limestone; Major:{meta-sandstone}, Minor{shale/slate,meta-limestone,greenschist}",carbonate,ok,80,80,9,25,100.0,resolved,Europe
3326.0,Porphyry,Cenozoic,carbonate,33.0583333333,-110.745833333,63.5,resolved,33.0583333333,-110.745833333,"plutonic: felsic and intermediate rocks; sedimentary rocks; Major:{sandstone,shale,limestone}; limestone",carbonate,ok,81,81,8,25,100.0,resolved,North_America
3346.0,VMS,Precambrian,felsic,34.75,-112.122222222,1520.5,resolved,34.75,-112.122222222,"Major:{granite,granodiorite,tonalite}, Minor:{quartz diorite,diorite,gabbro}; granite; sedimentary; rhyolite; volcanic rocks",felsic,ok,58,58,8,23,100.0,resolved,North_America
3373.0,Porphyry,Unknown,other,31.9822222222,-111.063055556,,other,31.9822222222,-111.063055556,"sedimentary rocks; Major:{sand,silt,clay}; sedimentary",other,ok,20,20,5,14,100.0,unknown,North_America
3374.0,Porphyry,Cenozoic,felsic,32.4,-111.5,63.2,resolved,32.4,-111.5,"Major:{rhyolite,dacite,andesite}, Minor:{clastic}; rhyolite; volcanic; sedimentary rocks; volcanic: interlayered sedimentary and volcanic rocks",felsic,ok,52,52,8,22,100.0,resolved,North_America
3376.0,Porphyry,Cenozoic,other,31.8930555556,-111.035,58.0,other,31.8930555556,-111.035,"sedimentary rocks; Major:{sand,silt,clay}; sedimentary",other,ok,68,68,9,23,100.0,resolved,North_America
3377.0,Porphyry,Mesozoic,carbonate,33.149444444444,-110.98722222222,70.3,resolved,33.149444444444,-110.98722222222,"Major:{conglomerate,sandstone}, Minor:{mudstone,siltstone,limestone,gypsum}; limestone; plutonic: granite; sedimentary rocks",carbonate,ok,59,59,8,24,100.0,resolved,North_America
