Mindat_id,latitude,longitude,litho_raw,litho_class,api_status
641.0,-22.2894444444,-68.9011111111,sedimentary rocks,other,ok
3373.0,31.9822222222,-111.063055556,"sedimentary rocks; Major:{sand,silt,clay}; sedimentary",other,ok
3376.0,31.8930555556,-111.035,"sedimentary rocks; Major:{sand,silt,clay}; sedimentary",other,ok
5792.0,31.410301572411,97.73015250491,sedimentary rocks,other,ok
5793.0,31.0166666667,97.9166666667,sedimentary rocks,other,ok
5798.0,27.4,101.133333333,sedimentary rocks,other,ok
8428.0,7.33333333333,126.15,sedimentary rocks,other,ok
8577.0,9.49166666667,122.679166667,sedimentary rocks,other,ok
8582.0,17.3444444444,121.058333333,sedimentary rocks,other,ok
8802.0,16.6377777778,120.676666667,sedimentary rocks,other,ok
8831.0,-6.31513109142,155.495322227,sedimentary rocks,other,ok
11307.0,48.9705555556,-65.5202777778,sedimentary rocks; sedimentary,other,ok
16510.0,22.123619596776,95.03357505746,sedimentary rocks,other,ok
17175.0,-5.2080348283979,141.13899815844,sedimentary rocks,other,ok
21538.0,16.2627777778,120.6225,sedimentary rocks,other,ok
23362.0,-29.0,-67.75,intrusive igneous rocks,other,ok
25368.0,-17.245252375894,-70.613077242235,sedimentary rocks,other,ok
27221.0,-26.4983333333,-69.3994444444,sedimentary rocks,other,ok
27227.0,-26.2444444444,-69.5575,sedimentary rocks,other,ok
27261.0,-4.0560167339,137.113198169,sedimentary rocks,other,ok
28448.0,-27.3708333333,-66.28,sedimentary rocks,other,ok
28588.0,10.313948183707,123.71268376923,sedimentary rocks,other,ok
32000.0,32.0275,-111.080555556,"sedimentary rocks; Major:{sand,silt,clay}; sedimentary",other,ok
34975.0,-27.3297222222,-66.6088888889,sedimentary rocks,other,ok
36818.0,-30.241578766321,-71.102801250415,sedimentary rocks,other,ok
39272.0,-24.272220317269,-69.068275471678,sedimentary rocks,other,ok
39273.0,-20.98305202099,-68.673347057618,sedimentary rocks,other,ok
39275.0,-21.9205555556,-68.8325,sedimentary rocks,other,ok
43585.0,-0.5,113.183333333,sedimentary rocks,other,ok
47606.0,42.66526992821,75.579408637148,sedimentary rocks,other,ok
