Mindat_id,litho_class,age_category,Deposit_type
125.0,metamorphic,Unknown,IOCG
126.0,mafic,Precambrian,Sediment-Hosted
132.0,felsic,Precambrian,IOCG
134.0,metamorphic,Precambrian,IOCG
140.0,felsic,Paleozoic,VMS
152.0,carbonate,Precambrian,Sediment-Hosted
163.0,carbonate,Precambrian,Sediment-Hosted
171.0,felsic,Unknown,IOCG
231.0,mafic,Precambrian,VMS
506.0,felsic,Precambrian,Magmatic sulfide
511.0,mafic,Paleozoic,VMS
559.0,felsic,Precambrian,VMS
579.0,volcanic,Precambrian,VMS
609.0,volcanic,Unknown,VMS
1666.0,siliciclastic,Precambrian,VMS
1728.0,felsic,Paleozoic,VMS
2120.0,carbonate,Cenozoic,Porphyry
2355.0,felsic,Cenozoic,Porphyry
2461.0,volcanic,Precambrian,VMS
2596.0,carbonate,Mesozoic,Porphyry
2725.0,metamorphic,Precambrian,Magmatic sulfide
2751.0,carbonate,Mesozoic,Magmatic sulfide
2778.0,metamorphic,Precambrian,Sediment-Hosted
3064.0,mafic,Unknown,Magmatic sulfide
3075.0,mafic,Unknown,Magmatic sulfide
3123.0,carbonate,Paleozoic,VMS
3326.0,carbonate,Cenozoic,Porphyry
3346.0,felsic,Precambrian,VMS
3374.0,felsic,Cenozoic,Porphyry
3377.0,carbonate,Mesozoic,Porphyry
3856.0,siliciclastic,Precambrian,Sediment-Hosted
3978.0,carbonate,Cenozoic,Porphyry
4181.0,felsic,Cenozoic,Porphyry
4343.0,metamorphic,Precambrian,Sediment-Hosted
4345.0,metamorphic,Precambrian,Sediment-Hosted
4346.0,metamorphic,Precambrian,Sediment-Hosted
4349.0,volcanic,Paleozoic,Sediment-Hosted
4350.0,volcanic,Unknown,Sediment-Hosted
4364.0,volcanic,Cenozoic,VMS
4381.0,mafic,Precambrian,VMS
4464.0,volcanic,Cenozoic,Porphyry
4496.0,volcanic,Precambrian,VMS
5436.0,felsic,Cenozoic,Porphyry
5774.0,felsic,Paleozoic,VMS
6001.0,volcanic,Paleozoic,VMS
6771.0,volcanic,Precambrian,VMS
6926.0,carbonate,Mesozoic,Porphyry
7377.0,felsic,Paleozoic,Porphyry
7378.0,felsic,Paleozoic,Porphyry
7797.0,mafic,Precambrian,Magmatic sulfide
7971.0,carbonate,Unknown,Sediment-Hosted
8049.0,siliciclastic,Precambrian,Magmatic sulfide
8064.0,felsic,Cenozoic,Porphyry
8182.0,felsic,Precambrian,Magmatic sulfide
8302.0,mafic,Precambrian,Sediment-Hosted
8417.0,volcanic,Paleozoic,Porphyry
8587.0,metamorphic,Paleozoic,VMS
8700.0,volcanic,Precambrian,VMS
8701.0,metamorphic,Precambrian,Magmatic sulfide
8744.0,carbonate,Precambrian,Sediment-Hosted
8794.0,mafic,Mesozoic,VMS
8859.0,felsic,Mesozoic,Porphyry
8875.0,volcanic,Mesozoic,VMS
8886.0,volcanic,Cenozoic,Porphyry
8905.0,volcanic,Paleozoic,VMS
8945.0,mafic,Paleozoic,VMS
9386.0,volcanic,Mesozoic,Magmatic sulfide
9496.0,felsic,Precambrian,VMS
9552.0,carbonate,Mesozoic,VMS
9592.0,volcanic,Paleozoic,VMS
9697.0,siliciclastic,Precambrian,VMS
9702.0,metamorphic,Precambrian,VMS
9706.0,metamorphic,Cenozoic,Porphyry
9736.0,volcanic,Precambrian,Sediment-Hosted
9786.0,volcanic,Precambrian,IOCG
9832.0,volcanic,Precambrian,VMS
9905.0,carbonate,Cenozoic,Porphyry
10049.0,volcanic,Unknown,Sediment-Hosted
10058.0,volcanic,Precambrian,VMS
10328.0,siliciclastic,Precambrian,Magmatic sulfide
10351.0,volcanic,Precambrian,VMS
10383.0,mafic,Precambrian,Magmatic sulfide
10452.0,mafic,Precambrian,VMS
10591.0,felsic,Precambrian,Porphyry
10617.0,felsic,Precambrian,VMS
10618.0,felsic,Precambrian,VMS
10663.0,felsic,Precambrian,VMS
10687.0,mafic,Paleozoic,VMS
10867.0,mafic,Precambrian,VMS
10915.0,siliciclastic,Precambrian,VMS
10917.0,felsic,Precambrian,VMS
10918.0,volcanic,Precambrian,VMS
11127.0,siliciclastic,Precambrian,Magmatic sulfide
11182.0,volcanic,Precambrian,VMS
11459.0,volcanic,Unknown,Porphyry
11726.0,siliciclastic,Precambrian,IOCG
11734.0,volcanic,Cenozoic,VMS
11777.0,mafic,Paleozoic,VMS
11803.0,felsic,Paleozoic,VMS
11824.0,volcanic,Mesozoic,VMS
11886.0,metamorphic,Precambrian,VMS
11952.0,mafic,Unknown,Magmatic sulfide
11973.0,volcanic,Cenozoic,Porphyry
12048.0,siliciclastic,Precambrian,VMS
12053.0,felsic,Precambrian,VMS
12054.0,siliciclastic,Precambrian,Porphyry
12057.0,mafic,Mesozoic,Porphyry
12663.0,felsic,Cenozoic,Porphyry
13126.0,siliciclastic,Precambrian,VMS
13132.0,siliciclastic,Precambrian,VMS
13473.0,siliciclastic,Paleozoic,Sediment-Hosted
13474.0,carbonate,Precambrian,Sediment-Hosted
13477.0,carbonate,Precambrian,Sediment-Hosted
13770.0,volcanic,Unknown,Porphyry
13841.0,siliciclastic,Unknown,Sediment-Hosted
13949.0,volcanic,Precambrian,Sediment-Hosted
13955.0,metamorphic,Precambrian,VMS
13958.0,metamorphic,Unknown,IOCG
14115.0,volcanic,Cenozoic,Porphyry
14297.0,felsic,Precambrian,Magmatic sulfide
14413.0,carbonate,Paleozoic,VMS
14752.0,carbonate,Paleozoic,VMS
14853.0,mafic,Paleozoic,VMS
15187.0,volcanic,Precambrian,Porphyry
15213.0,carbonate,Cenozoic,Porphyry
15217.0,volcanic,Precambrian,Sediment-Hosted
15806.0,mafic,Precambrian,VMS
15930.0,volcanic,Unknown,Magmatic sulfide
15963.0,mafic,Precambrian,Porphyry
15998.0,volcanic,Paleozoic,Sediment-Hosted
16033.0,metamorphic,Mesozoic,Porphyry
16144.0,volcanic,Precambrian,Sediment-Hosted
16242.0,felsic,Unknown,Porphyry
16397.0,felsic,Unknown,Magmatic sulfide
16404.0,volcanic,Precambrian,Sediment-Hosted
16722.0,mafic,Precambrian,Magmatic sulfide
16723.0,mafic,Paleozoic,VMS
16762.0,volcanic,Paleozoic,VMS
17053.0,volcanic,Precambrian,Sediment-Hosted
17055.0,felsic,Precambrian,VMS
17154.0,metamorphic,Unknown,Sediment-Hosted
17460.0,felsic,Precambrian,VMS
17692.0,felsic,Paleozoic,VMS
17816.0,felsic,Cenozoic,Porphyry
18255.0,felsic,Unknown,Porphyry
18270.0,volcanic,Cenozoic,Porphyry
18379.0,volcanic,Precambrian,Magmatic sulfide
18441.0,felsic,Mesozoic,Porphyry
18571.0,felsic,Precambrian,VMS
18578.0,felsic,Precambrian,VMS
18580.0,felsic,Precambrian,VMS
18581.0,felsic,Precambrian,VMS
18583.0,felsic,Precambrian,VMS
18672.0,carbonate,Paleozoic,VMS
18790.0,mafic,Mesozoic,VMS
18837.0,felsic,Unknown,IOCG
18839.0,felsic,Precambrian,VMS
18963.0,metamorphic,Unknown,Magmatic sulfide
19036.0,volcanic,Precambrian,Sediment-Hosted
19062.0,carbonate,Unknown,IOCG
19089.0,carbonate,Precambrian,Sediment-Hosted
19265.0,felsic,Paleozoic,VMS
19493.0,felsic,Paleozoic,VMS
19949.0,volcanic,Cenozoic,Porphyry
