Mindat_id,Deposit_type,age_category,litho_class,Latitude,Longitude,age_midpoint_ma,lithology_A_class,lithology_A_status,lithology_A_source
125.0,IOCG,Unknown,metamorphic,-19.7023545167,134.244931032,,metamorphic,resolved,Macrostrat_original
126.0,Sediment-Hosted,Precambrian,mafic,-17.386763822239,131.11581797283,630.0,mafic,resolved,Macrostrat_original
132.0,IOCG,Precambrian,felsic,-21.540337655,140.498235602,1532.5,felsic,resolved,Macrostrat_original
134.0,IOCG,Precambrian,metamorphic,-20.7195375299,140.510681958,1532.5,metamorphic,resolved,Macrostrat_original
140.0,VMS,Paleozoic,felsic,-23.642494444444,150.37543055556,390.0,felsic,resolved,Macrostrat_original
152.0,Sediment-Hosted,Precambrian,carbonate,-33.6780555556,138.926388889,630.0,carbonate,resolved,Macrostrat_original
163.0,Sediment-Hosted,Precambrian,carbonate,-31.44388961792,137.14721679688,630.0,carbonate,resolved,Macrostrat_original
171.0,IOCG,Unknown,felsic,-33.908755555556,137.65188888889,,felsic,resolved,Macrostrat_original
231.0,VMS,Precambrian,mafic,-20.863855555556,117.83245555556,3200.0,mafic,resolved,Macrostrat_original
506.0,Magmatic sulfide,Precambrian,felsic,55.7197625842,-97.8353118896,1847.0,felsic,resolved,Macrostrat_original
511.0,VMS,Paleozoic,mafic,49.89466,-56.081527,464.5,mafic,resolved,Macrostrat_original
559.0,VMS,Precambrian,felsic,46.4155555556,-81.3613888889,1500.0,felsic,resolved,Macrostrat_original
579.0,VMS,Precambrian,volcanic,49.7197222222,-77.7180555556,2725.0,volcanic,resolved,Macrostrat_original
609.0,VMS,Unknown,volcanic,48.25427,-79.011281,,volcanic,resolved,Macrostrat_original
641.0,Porphyry,Cenozoic,other,-22.2894444444,-68.9011111111,33.035,other,other,Macrostrat_original
648.0,VMS,Mesozoic,other,-27.5902777778,-70.35,150.5,other,other,Macrostrat_original
721.0,Magmatic sulfide,Paleozoic,other,41.992858333333,110.12308055556,367.0,other,other,Macrostrat_original
730.0,Magmatic sulfide,Mesozoic,other,30.6986111111,101.909722222,250.2,other,other,Macrostrat_original
1666.0,VMS,Precambrian,siliciclastic,62.761111111111,29.0925,1800.0,siliciclastic,resolved,Macrostrat_original
1728.0,VMS,Paleozoic,felsic,45.8958333333,4.61277777778,406.0,felsic,resolved,Macrostrat_original
2120.0,Porphyry,Cenozoic,carbonate,40.533055555556,8.3341666666667,30.5,carbonate,resolved,Macrostrat_original
2214.0,Sediment-Hosted,Paleozoic,unknown,0.0,0.0,320.0,unknown,unknown,Macrostrat_original
2355.0,Porphyry,Cenozoic,felsic,30.320611061173,-109.56493377686,53.8,felsic,resolved,Macrostrat_original
2461.0,VMS,Precambrian,volcanic,69.2833333333,22.4833333333,1520.5,volcanic,resolved,Macrostrat_original
2567.0,VMS,Cenozoic,other,16.859871411637,120.77577662768,1.4300000000000002,other,other,Macrostrat_original
2596.0,Porphyry,Mesozoic,carbonate,44.7377777778,21.7025,69.05,carbonate,resolved,Macrostrat_original
2725.0,Magmatic sulfide,Precambrian,metamorphic,67.922425,32.838977777778,2496.5,metamorphic,resolved,Macrostrat_original
2751.0,Magmatic sulfide,Mesozoic,carbonate,69.4918008,88.4238928,232.3,carbonate,resolved,Macrostrat_original
2778.0,Sediment-Hosted,Precambrian,metamorphic,56.5833333333,118.5,2100.0,metamorphic,resolved,Macrostrat_original
3063.0,Magmatic sulfide,Precambrian,unknown,0.0,0.0,2060.0,unknown,unknown,Macrostrat_original
3064.0,Magmatic sulfide,Unknown,mafic,-24.2972222,29.8791667,,mafic,resolved,Macrostrat_original
3075.0,Magmatic sulfide,Unknown,mafic,-30.716666666667,29.299722222222,,mafic,resolved,Macrostrat_original
3123.0,VMS,Paleozoic,carbonate,37.699166666667,-6.5708333333333,350.0,carbonate,resolved,Macrostrat_original
3326.0,Porphyry,Cenozoic,carbonate,33.0583333333,-110.745833333,63.5,carbonate,resolved,Macrostrat_original
3346.0,VMS,Precambrian,felsic,34.75,-112.122222222,1520.5,felsic,resolved,Macrostrat_original
3373.0,Porphyry,Unknown,other,31.9822222222,-111.063055556,,other,other,Macrostrat_original
3374.0,Porphyry,Cenozoic,felsic,32.4,-111.5,63.2,felsic,resolved,Macrostrat_original
3376.0,Porphyry,Cenozoic,other,31.8930555556,-111.035,58.0,other,other,Macrostrat_original
3377.0,Porphyry,Mesozoic,carbonate,33.149444444444,-110.98722222222,70.3,carbonate,resolved,Macrostrat_original
3856.0,Sediment-Hosted,Precambrian,siliciclastic,46.75,-89.55,1047.0,siliciclastic,resolved,Macrostrat_original
3978.0,Porphyry,Cenozoic,carbonate,32.79,-108.06731,55.5,carbonate,resolved,Macrostrat_original
4181.0,Porphyry,Cenozoic,felsic,40.5222222222,-112.148611111,39.0,felsic,resolved,Macrostrat_original
4322.0,Sediment-Hosted,Paleozoic,other,-10.713490343447,25.445446855678,521.0,other,other,Macrostrat_original
4331.0,Sediment-Hosted,Unknown,other,-11.6344444444,27.5808333333,,other,other,Macrostrat_original
4343.0,Sediment-Hosted,Precambrian,metamorphic,-12.6819444444,27.9166666667,900.0,metamorphic,resolved,Macrostrat_original
