Mindat_id,Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,glim_level1_code,glim_level1_description,lithology_B_class,lithology_B_status,lithology_B_confidence,glim_mapping_rationale,glim_match_method,glim_match_count,glim_overlap_ambiguous,lithology_B_source
125.0,IOCG,Unknown,-19.7023545167,134.244931032,,su,Unconsolidated sediments,other,other,low,Unconsolidated cover not treated as bedrock host lithology,exact_point_in_polygon,1,False,GLiM_full_polygon
126.0,Sediment-Hosted,Precambrian,-17.386763822239,131.11581797283,630.0,vb,Basic volcanic rocks,volcanic,resolved,high,Basic volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
132.0,IOCG,Precambrian,-21.540337655,140.498235602,1532.5,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
134.0,IOCG,Precambrian,-20.7195375299,140.510681958,1532.5,pb,Basic plutonic rocks,mafic,resolved,high,Basic plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
140.0,VMS,Paleozoic,-23.642494444444,150.37543055556,390.0,py,Pyroclastics,volcanic,resolved,medium,Pyroclastic surface unit,exact_point_in_polygon,1,False,GLiM_full_polygon
152.0,Sediment-Hosted,Precambrian,-33.6780555556,138.926388889,630.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
163.0,Sediment-Hosted,Precambrian,-31.44388961792,137.14721679688,630.0,su,Unconsolidated sediments,other,other,low,Unconsolidated cover not treated as bedrock host lithology,exact_point_in_polygon,1,False,GLiM_full_polygon
171.0,IOCG,Unknown,-33.908755555556,137.65188888889,,su,Unconsolidated sediments,other,other,low,Unconsolidated cover not treated as bedrock host lithology,exact_point_in_polygon,1,False,GLiM_full_polygon
231.0,VMS,Precambrian,-20.863855555556,117.83245555556,3200.0,ss,Siliciclastic sedimentary rocks,siliciclastic,resolved,high,Siliciclastic sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
506.0,Magmatic sulfide,Precambrian,55.7197625842,-97.8353118896,1847.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
511.0,VMS,Paleozoic,49.89466,-56.081527,464.5,vb,Basic volcanic rocks,volcanic,resolved,high,Basic volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
559.0,VMS,Precambrian,46.4155555556,-81.3613888889,1500.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
579.0,VMS,Precambrian,49.7197222222,-77.7180555556,2725.0,va,Acid volcanic rocks,volcanic,resolved,high,Acid volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
609.0,VMS,Unknown,48.25427,-79.011281,,vb,Basic volcanic rocks,volcanic,resolved,high,Basic volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
641.0,Porphyry,Cenozoic,-22.2894444444,-68.9011111111,33.035,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
648.0,VMS,Mesozoic,-27.5902777778,-70.35,150.5,sc,Carbonate sedimentary rocks,carbonate,resolved,high,Carbonate sedimentary rock,exact_point_in_polygon,1,False,GLiM_full_polygon
721.0,Magmatic sulfide,Paleozoic,41.992858333333,110.12308055556,367.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
730.0,Magmatic sulfide,Mesozoic,30.6986111111,101.909722222,250.2,pb,Basic plutonic rocks,mafic,resolved,high,Basic plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
1666.0,VMS,Precambrian,62.761111111111,29.0925,1800.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
1728.0,VMS,Paleozoic,45.8958333333,4.61277777778,406.0,vb,Basic volcanic rocks,volcanic,resolved,high,Basic volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
2120.0,Porphyry,Cenozoic,40.533055555556,8.3341666666667,30.5,su,Unconsolidated sediments,other,other,low,Unconsolidated cover not treated as bedrock host lithology,exact_point_in_polygon,1,False,GLiM_full_polygon
2214.0,Sediment-Hosted,Paleozoic,0.0,0.0,320.0,,,unknown,unknown,none,No exact polygon match or unrecognized Level 1 code,no_exact_polygon_match,0,False,GLiM_full_polygon
2355.0,Porphyry,Cenozoic,30.320611061173,-109.56493377686,53.8,vi,Intermediate volcanic rocks,volcanic,resolved,high,Intermediate volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
2461.0,VMS,Precambrian,69.2833333333,22.4833333333,1520.5,vb,Basic volcanic rocks,volcanic,resolved,high,Basic volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
2567.0,VMS,Cenozoic,16.859871411637,120.77577662768,1.4300000000000002,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
2596.0,Porphyry,Mesozoic,44.7377777778,21.7025,69.05,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
