Mindat_id,Latitude,Longitude,lithology_A_class,lithology_A_status,lithology_B_class,lithology_B_status,lithology_B_confidence,glim_level1_code,glim_level1_description,lithology_C_class,lithology_C_status,lithology_C_source,lithology_C_confidence,macrostrat_class,macrostrat_status,glim_model_class,glim_status,agreement_status,coordinate_valid
2214,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
3063,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
4555,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
7314,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
7372,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
7376,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
10277,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
11434,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
11508,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
13203,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
14050,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
20202,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
21217,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
21221,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
24322,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
25411,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
25473,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
26179,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
30641,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
33114,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
33127,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
33179,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
37411,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
37499,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
46163,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
46432,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
49888,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
51825,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
54518,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
56299,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
61612,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
66391,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
105730,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
107981,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
108083,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
155467,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
155653,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
156831,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
157060,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
158935,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
185489,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
185759,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
188085,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
188445,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
190504,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
191530,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
191536,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
191824,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
191961,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
194046,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
195454,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
195732,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
203635,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
203657,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
204926,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
204927,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
204941,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
205741,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
209671,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
211957,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
218987,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
228126,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
228206,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
228356,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
232935,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
232947,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
232948,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
234066,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
234067,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
234528,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
234529,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
235751,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
240070,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
250844,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
250908,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
251681,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
251683,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
252247,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
255031,0.0,0.0,unknown,unknown,unknown,unknown,none,,,unknown,unknown,unresolved_no_class,none,unknown,unknown,unknown,unknown,both_unresolved_macro_unknown_glim_unknown,False
