source,seed,topic_reference_order,rank,family,probability
Macrostrat,42,1,1,Cu_sulfides_primary,0.13133636
Macrostrat,42,1,2,Fe_oxides_hydroxides,0.12937337
Macrostrat,42,1,3,Skarn_calc_silicates,0.12203399
Macrostrat,42,1,4,Mo_sulfides,0.11596655
Macrostrat,42,1,5,Clay_minerals,0.10058418
Macrostrat,42,1,6,Micas_sericite,0.096352406
Macrostrat,42,1,7,Evaporite_sulfates,0.09485437
Macrostrat,42,1,8,Cu_sulfides_supergene,0.08983054
Macrostrat,42,1,9,Cu_carbonates_silicates,0.051028546
Macrostrat,42,1,10,Fe_sulfides,0.02878839
Macrostrat,42,2,1,Other_silicates,0.26748294
Macrostrat,42,2,2,Cu_carbonates_silicates,0.2645186
Macrostrat,42,2,3,Cu_sulfides_supergene,0.23695548
Macrostrat,42,2,4,Cu_oxides,0.15278496
Macrostrat,42,2,5,Native_elements_misc,0.065192536
Macrostrat,42,2,6,Cu_sulfides_primary,0.006552991
Macrostrat,42,2,7,Fe_oxides_hydroxides,0.001264841
Macrostrat,42,2,8,Carbonates,0.0008354502
Macrostrat,42,2,9,Fe_sulfides,0.000538355
Macrostrat,42,2,10,Micas_sericite,0.0003901944
Macrostrat,42,3,1,Sulfates_other,0.90575755
Macrostrat,42,3,2,Evaporite_sulfates,0.081397645
Macrostrat,42,3,3,Barite,0.004101876
Macrostrat,42,3,4,Fe_oxides_hydroxides,0.00085552904
Macrostrat,42,3,5,Sulfides_misc,0.0003506847
Macrostrat,42,3,6,As_Sb_Bi_sulfosalts,0.00033990198
Macrostrat,42,3,7,Zn_sulfides,0.0003001675
Macrostrat,42,3,8,Cu_sulfides_other,0.00029735727
Macrostrat,42,3,9,Fe_sulfides,0.00029107646
Macrostrat,42,3,10,Phosphates_other,0.00028543535
Macrostrat,42,4,1,Ni_Co_sulfides_arsenides,0.49881747
Macrostrat,42,4,2,Sulfides_misc,0.19816199
Macrostrat,42,4,3,As_Sb_Bi_sulfosalts,0.1911457
Macrostrat,42,4,4,Native_elements_misc,0.069191426
Macrostrat,42,4,5,PGE_alloys_intermetallics,0.020543445
Macrostrat,42,4,6,REE_accessory,0.00794956
Macrostrat,42,4,7,Pb_sulfides,0.0033975702
Macrostrat,42,4,8,Cu_sulfides_other,0.0022486812
Macrostrat,42,4,9,Au_Ag_native,0.0016765303
Macrostrat,42,4,10,Fe_sulfides,0.0015348544
Macrostrat,42,5,1,Other_silicates,0.14619035
Macrostrat,42,5,2,Fe_sulfides,0.12417531
Macrostrat,42,5,3,Fe_oxides_hydroxides,0.114562206
Macrostrat,42,5,4,Carbonates,0.11384501
Macrostrat,42,5,5,Cu_sulfides_primary,0.09841205
Macrostrat,42,5,6,Skarn_calc_silicates,0.050030768
Macrostrat,42,5,7,Quartz,0.049450018
Macrostrat,42,5,8,Au_Ag_native,0.044261064
Macrostrat,42,5,9,Feldspars,0.042038824
Macrostrat,42,5,10,Pb_sulfides,0.03261397
Macrostrat,42,6,1,Fe_sulfides,0.15898159
Macrostrat,42,6,2,Cu_sulfides_other,0.1583007
Macrostrat,42,6,3,Pb_sulfides,0.12056833
Macrostrat,42,6,4,Zn_sulfides,0.11257871
Macrostrat,42,6,5,Cu_sulfides_primary,0.11021646
Macrostrat,42,6,6,Quartz,0.064718656
Macrostrat,42,6,7,Cu_sulfides_supergene,0.06177052
Macrostrat,42,6,8,Barite,0.053248074
Macrostrat,42,6,9,Fe_oxides_hydroxides,0.04941835
Macrostrat,42,6,10,Au_Ag_native,0.047188926
Macrostrat,42,7,1,Phosphates_other,0.4828505
Macrostrat,42,7,2,Halides_other,0.39932373
Macrostrat,42,7,3,Mn_oxides,0.09083115
Macrostrat,42,7,4,Sulfates_other,0.0043702787
Macrostrat,42,7,5,Cu_sulfides_other,0.0013079076
Macrostrat,42,7,6,Other_silicates,0.001179041
Macrostrat,42,7,7,Sulfides_misc,0.0010405377
Macrostrat,42,7,8,Clay_minerals,0.00096729945
Macrostrat,42,7,9,Cu_oxides,0.000901476
Macrostrat,42,7,10,Cu_carbonates_silicates,0.0008934758
GLiM,42,1,1,Fe_oxides_hydroxides,0.13035837
GLiM,42,1,2,Cu_sulfides_primary,0.123534665
GLiM,42,1,3,Skarn_calc_silicates,0.11792504
GLiM,42,1,4,Mo_sulfides,0.114555106
GLiM,42,1,5,Clay_minerals,0.098105825
GLiM,42,1,6,Cu_sulfides_supergene,0.094756596
GLiM,42,1,7,Evaporite_sulfates,0.09235278
GLiM,42,1,8,Micas_sericite,0.08591067
GLiM,42,1,9,Cu_carbonates_silicates,0.05743281
GLiM,42,1,10,Fe_sulfides,0.044766612
GLiM,42,2,1,Cu_carbonates_silicates,0.3089773
GLiM,42,2,2,Cu_sulfides_supergene,0.26170412
GLiM,42,2,3,Cu_oxides,0.18013783
GLiM,42,2,4,Other_silicates,0.13414733
GLiM,42,2,5,Native_elements_misc,0.093610644
GLiM,42,2,6,Fe_oxides_hydroxides,0.012374335
GLiM,42,2,7,Cu_sulfides_primary,0.002880934
GLiM,42,2,8,Carbonates,0.0008652909
GLiM,42,2,9,Fe_sulfides,0.0006749085
GLiM,42,2,10,Quartz,0.00041995844
GLiM,42,3,1,Sulfates_other,0.91401774
GLiM,42,3,2,Evaporite_sulfates,0.07471782
GLiM,42,3,3,Barite,0.0014909492
GLiM,42,3,4,Fe_oxides_hydroxides,0.0012515329
GLiM,42,3,5,Sulfides_misc,0.00039546526
GLiM,42,3,6,Micas_sericite,0.00032329632
GLiM,42,3,7,Zn_sulfides,0.00032088155
GLiM,42,3,8,Other_silicates,0.00030814635
GLiM,42,3,9,Clay_minerals,0.00030622326
GLiM,42,3,10,Cu_sulfides_other,0.00030333025
GLiM,42,4,1,Ni_Co_sulfides_arsenides,0.41950795
GLiM,42,4,2,Sulfides_misc,0.17437184
GLiM,42,4,3,As_Sb_Bi_sulfosalts,0.16703855
GLiM,42,4,4,Fe_sulfides,0.10032
GLiM,42,4,5,Native_elements_misc,0.055208948
GLiM,42,4,6,Zn_sulfides,0.035275955
GLiM,42,4,7,PGE_alloys_intermetallics,0.018980449
GLiM,42,4,8,Pb_sulfides,0.011777875
GLiM,42,4,9,Fe_oxides_hydroxides,0.0075448267
GLiM,42,4,10,REE_accessory,0.002137367
GLiM,42,5,1,Other_silicates,0.18760245
GLiM,42,5,2,Fe_oxides_hydroxides,0.12392578
GLiM,42,5,3,Carbonates,0.10779114
GLiM,42,5,4,Cu_sulfides_primary,0.103608504
GLiM,42,5,5,Fe_sulfides,0.100211576
GLiM,42,5,6,Quartz,0.05184285
GLiM,42,5,7,Skarn_calc_silicates,0.051820114
GLiM,42,5,8,Feldspars,0.04227174
GLiM,42,5,9,Au_Ag_native,0.038887214
GLiM,42,5,10,Oxides_misc,0.031043105
GLiM,42,6,1,Cu_sulfides_other,0.15482756
GLiM,42,6,2,Fe_sulfides,0.14228761
GLiM,42,6,3,Pb_sulfides,0.13561441
GLiM,42,6,4,Zn_sulfides,0.1051134
GLiM,42,6,5,Cu_sulfides_primary,0.10361392
GLiM,42,6,6,Cu_sulfides_supergene,0.06751239
GLiM,42,6,7,Au_Ag_native,0.061174966
GLiM,42,6,8,Quartz,0.057662155
GLiM,42,6,9,Micas_sericite,0.056924537
GLiM,42,6,10,Barite,0.052431066
GLiM,42,7,1,Phosphates_other,0.59394556
GLiM,42,7,2,Halides_other,0.3018814
GLiM,42,7,3,Mn_oxides,0.067615256
GLiM,42,7,4,Cu_sulfides_other,0.0046864147
GLiM,42,7,5,Sulfates_other,0.0039316854
GLiM,42,7,6,Other_silicates,0.0019782013
GLiM,42,7,7,Cu_carbonates_silicates,0.001394418
GLiM,42,7,8,Cu_oxides,0.0012991574
GLiM,42,7,9,Sulfides_misc,0.0011586978
GLiM,42,7,10,Carbonates,0.0010666017
Combined,42,1,1,Fe_oxides_hydroxides,0.12721764
Combined,42,1,2,Skarn_calc_silicates,0.12714688
Combined,42,1,3,Mo_sulfides,0.12056102
Combined,42,1,4,Cu_sulfides_primary,0.119047225
Combined,42,1,5,Evaporite_sulfates,0.105395
Combined,42,1,6,Cu_sulfides_supergene,0.098528296
Combined,42,1,7,Micas_sericite,0.09837394
Combined,42,1,8,Clay_minerals,0.09607705
Combined,42,1,9,Cu_carbonates_silicates,0.06203242
Combined,42,1,10,Halides_fluorite,0.012942779
Combined,42,2,1,Other_silicates,0.28080824
Combined,42,2,2,Cu_sulfides_supergene,0.24394561
