run_stem,source,prior_setting,seed,run_mode,n_deposits,n_families,n_steps,elapsed_seconds,learn_scales,fixed_sigma_litho,fixed_sigma_age,posterior_sigma_litho_mean,posterior_sigma_age_mean,posterior_sigma_litho_median,posterior_sigma_age_median,posterior_sigma_ratio_lithology_over_age,omega_a,effective_age_scale_sigma_times_omega,kappa,elbo_last,elbo_mean_last_100,elbo_mean_last_100_per_deposit,dm_log_prob_total,dm_log_prob_mean_per_deposit,dm_log_prob_total_per_recorded_count,mean_document_log_prob_per_recorded_count,mean_topic_cosine_to_common_lda,minimum_topic_cosine_to_common_lda,lithology_effect_unweighted_observed,age_effect_unweighted_observed,ratio_unweighted_observed,lithology_effect_weighted_all,age_effect_weighted_all,ratio_weighted_all,lithology_effect_weighted_nonmissing,age_effect_weighted_nonmissing,ratio_weighted_nonmissing_primary,lithology_effect_weighted_strict,age_effect_weighted_strict,ratio_weighted_strict,tau_mean,tau_median
macrostrat__original__seed_42,Macrostrat,original,42,full,1237,35,5000,199.2509524822235,False,0.3,0.15,0.3,0.15,0.3,0.15,2.0,0.42213937049272154,0.06332090557390822,100.28666183265793,-31265.56745481491,-31299.167260668277,-25.30247959633652,-30533.519835172425,-24.683524523179003,-1.235674618987148,-1.4850376296681038,0.848701136499396,0.5238514944370611,0.006253637024201453,0.0014182689832523466,4.409344840821897,0.006660643317522112,0.001408865746948642,4.7276636059524515,0.006663604321237276,0.001389891519417235,4.794334110356502,0.006627909620400778,0.001389891519417235,4.768652465179284,0.20080052316188812,0.17289219796657562
macrostrat__original__seed_123,Macrostrat,original,123,full,1237,35,5000,176.12412762641907,False,0.3,0.15,0.3,0.15,0.3,0.15,2.0,0.4307179397877279,0.06460769096815917,99.84329756044245,-31263.86361348629,-31300.35756246686,-25.303441845163185,-30532.71493231046,-24.682873833719047,-1.2356420450145877,-1.4870631736738213,0.848253698867096,0.522599534068107,0.00625098601449281,0.0014773833798244595,4.231119762045477,0.006726578317308556,0.001479495688011793,4.546534587301168,0.006730707919956581,0.001512795794992842,4.4491847096841175,0.006717110515117299,0.001512795794992842,4.440196447762523,0.20376059412956238,0.17261913418769836
macrostrat__original__seed_7,Macrostrat,original,7,full,1237,35,5000,178.59406065940857,False,0.3,0.15,0.3,0.15,0.3,0.15,2.0,0.4662236227371142,0.06993354341056712,99.09829648027022,-31287.277485847473,-31300.405330872534,-25.303480461497603,-30528.63441606001,-24.67957511403396,-1.2354769087842983,-1.4878924625585435,0.8485910233404113,0.5232446001951467,0.006428260414395481,0.0015205872245132924,4.227485481112753,0.006914456074164462,0.0015286031730997053,4.523381997267029,0.006918034957050674,0.001570744332407099,4.404303624924801,0.006784995787148905,0.001570744332407099,4.319605455301047,0.20481593906879425,0.1646680235862732
macrostrat__equal_low__seed_42,Macrostrat,equal_low,42,full,1237,35,5000,167.79337620735168,False,0.15,0.15,0.15,0.15,0.15,0.15,1.0,0.3717271075888078,0.05575906613832116,99.9633920037001,-31462.302498936653,-31304.389151273965,-25.30670101153918,-30548.462668482476,-24.695604420761903,-1.2362793471664297,-1.4874788911816856,0.8490765713387355,0.5205335338896293,0.004191253683529794,0.0014651972567662596,2.8605388552119146,0.004292038536239822,0.0014692929159456874,2.9211592117949596,0.004292808819622526,0.0014725330623715672,2.9152546243741404,0.004344004571307884,0.0014725330623715672,2.9500217565992775,0.23798713088035583,0.22087128460407257
macrostrat__equal_low__seed_123,Macrostrat,equal_low,123,full,1237,35,5000,163.70356154441833,False,0.15,0.15,0.15,0.15,0.15,0.15,1.0,0.36807073732238826,0.05521061059835824,99.11762514879051,-31287.214488506317,-31301.05677250981,-25.304007091762177,-30549.094013867787,-24.696114805066927,-1.2363048973641355,-1.4871056372625238,0.8435895358969273,0.5215727090335227,0.004315866623073816,0.0014301315881311894,3.0178108496390412,0.004528786472090812,0.001429469692622437,3.1681584404790812,0.00453031550572529,0.0013965163108032319,3.24401188205213,0.004550556232069814,0.0013965163108032319,3.2585056091843843,0.23419053852558136,0.21890680491924286
macrostrat__equal_low__seed_7,Macrostrat,equal_low,7,full,1237,35,5000,166.66096258163452,False,0.15,0.15,0.15,0.15,0.15,0.15,1.0,0.36835562024512114,0.05525334303676817,98.27671786483913,-32292.497075796127,-31341.822177402973,-25.336962148264327,-30550.40008526745,-24.697170642900122,-1.236357753349553,-1.4876810924403052,0.8490767901631964,0.5245893921235673,0.004282745183445513,0.001424100948497653,3.007332582682127,0.004465115648862231,0.001416990167379271,3.15112676972239,0.004466399756309233,0.0014364393801646837,3.109354851993248,0.0044042409679224325,0.0014364393801646837,3.0660820280612877,0.23503799736499786,0.22186706960201263
macrostrat__equal_high__seed_42,Macrostrat,equal_high,42,full,1237,35,5000,161.48321890830994,False,0.3,0.3,0.3,0.3,0.3,0.3,1.0,0.3417047089492992,0.10251141268478976,101.32926879531215,-31254.35581624508,-31295.747570664884,-25.299715093504354,-30525.65401055851,-24.677165732060235,-1.235356293426083,-1.4870973882115597,0.8556361947586125,0.5240852980243492,0.006352111231535673,0.0017379343044012785,3.6549777603498006,0.006811664831239607,0.0017371698634257794,3.921127677063594,0.006814876802054494,0.001723483910280138,3.95412847280181,0.006762872554015281,0.001723483910280138,3.923954563008385,0.20378728210926056,0.18087179958820343
macrostrat__equal_high__seed_123,Macrostrat,equal_high,123,full,1237,35,5000,165.76370644569397,False,0.3,0.3,0.3,0.3,0.3,0.3,1.0,0.3310678640328074,0.09932035920984222,101.0787143024878,-31259.788191199303,-31287.712313714026,-25.29321933202427,-30524.730625738637,-24.676419260904314,-1.2353189245543763,-1.486419345629365,0.8539805003799403,0.5239044015431686,0.006183876655995846,0.0017238631146028638,3.5872202401757756,0.0067725483563005106,0.001730560569680637,3.9134997497084645,0.006776082551913706,0.0017066140387996785,3.970483306629519,0.006640225156145387,0.0017066140387996785,3.8908769090026296,0.20245590806007385,0.17235013842582703
macrostrat__equal_high__seed_7,Macrostrat,equal_high,7,full,1237,35,5000,162.1075885295868,False,0.3,0.3,0.3,0.3,0.3,0.3,1.0,0.3418611833901084,0.10255835501703252,101.793743811518,-31276.004267930984,-31306.56080070734,-25.308456589092433,-30523.77762221538,-24.675648845768293,-1.2352803570301651,-1.4871670220668902,0.8523205850859155,0.5252793703054951,0.006372721749357879,0.0018015761859714984,3.5373035006684406,0.007110985510183759,0.001808076674945309,3.932900417731927,0.007115624055477531,0.0017882017894224513,3.9792064282497535,0.006921897380244593,0.0017882017894224513,3.870870402428246,0.20171688497066498,0.1687035709619522
macrostrat__reversed__seed_42,Macrostrat,reversed,42,full,1237,35,5000,162.7191197872162,False,0.15,0.3,0.15,0.3,0.15,0.3,0.5,0.2564375737778316,0.07693127213334948,99.96877843617,-31291.5220181942,-31296.944644417763,-25.300682816829234,-30548.420124364704,-24.695570027780683,-1.236277625429571,-1.4879213001508875,0.8613978195566315,0.5232276012238983,0.0040564515220467,0.0014231456676498055,2.8503417564735716,0.004182451900031505,0.001428532507966996,2.9277960961376555,0.00418369378743746,0.001428440872051872,2.92885331783305,0.004231116921792543,0.001428440872051872,2.96205254594458,0.22838659584522247,0.21170081198215485
macrostrat__reversed__seed_123,Macrostrat,reversed,123,full,1237,35,5000,160.35585713386536,False,0.15,0.3,0.15,0.3,0.15,0.3,0.5,0.2505078157260767,0.07515234471782302,99.48335740261795,-31244.5268086195,-31286.333767846823,-25.2921049052925,-30545.836068648263,-24.693481057920987,-1.2361730501274084,-1.4895048238515622,0.8515169784606691,0.5226383875704417,0.004221885290462524,0.001488794106990099,2.835775122053597,0.004378988377060275,0.001490574531112598,2.9377855891524596,0.004380385358610496,0.0014631679573109749,2.993767965408984,0.004425645387883103,0.0014631679573109749,3.024700866205818,0.23506014049053192,0.2117561250925064
macrostrat__reversed__seed_7,Macrostrat,reversed,7,full,1237,35,5000,160.38750505447388,False,0.15,0.3,0.15,0.3,0.15,0.3,0.5,0.24614653181644022,0.07384395954493206,98.71933902822772,-31281.565727591515,-31303.23318947196,-25.30576652342115,-30549.19318525502,-24.696194975953937,-1.236308910775193,-1.4883312524175836,0.8571675624151363,0.5256293332349757,0.0043546161614358425,0.0014269527746364474,3.051689052950818,0.0044854994416809076,0.0014308676639912092,3.1348108246217694,0.004486599771554774,0.0013942370782155972,3.2179604470832976,0.00452645739518799,0.0013942370782155972,3.2465478546741413,0.23288601636886597,0.2152724266052246
macrostrat__learned_equal_hyperprior__seed_42,Macrostrat,learned_equal_hyperprior,42,full,1237,35,5000,186.77605295181274,True,,,0.23936171297859657,0.17172289460998397,0.2393336697185204,0.1716860599557553,1.3938835210193345,0.3836754371148811,0.06588585665211825,102.28141504940471,-31275.502014398575,-31310.303173949123,-25.311481951454425,-30534.114048069554,-24.684004889304408,-1.2356986664536445,-1.48597596833996,0.8475855142713363,0.5227536009731689,0.0056276629329659045,0.0014978686580434442,3.7571137514265818,0.006031195120020147,0.0015006249757534798,4.019122177405997,0.0060341071514676695,0.0014903766107640071,4.048712995015685,0.005963410719752658,0.0014903766107640071,4.001277715097564,0.2152179330587387,0.18943433463573456
macrostrat__learned_equal_hyperprior__seed_123,Macrostrat,learned_equal_hyperprior,123,full,1237,35,5000,184.45842695236206,True,,,0.24389744591916665,0.1749961958624699,0.2438674816774072,0.17496129044871817,1.3937299877698284,0.3663067623911381,0.06410228993714683,98.39347352180214,-31292.181227207184,-31303.007451401354,-25.305584035085978,-30540.14380518861,-24.68887938980486,-1.2359426873811659,-1.4887062076402158,0.8481815071570594,0.5228044870599687,0.005437525920569897,0.0013210184406489134,4.116162010500674,0.005776810056244594,0.0013160256169384033,4.389587848360993,0.005779499165442309,0.00130623875177703,4.424535068784153,0.005831285834658978,0.00130623875177703,4.4641807071838855,0.2150035798549652,0.19265782833099365
macrostrat__learned_equal_hyperprior__seed_7,Macrostrat,learned_equal_hyperprior,7,full,1237,35,5000,180.49235320091248,True,,,0.23750703700487394,0.1674522807923011,0.2374782093122953,0.16741233117594748,1.4183565364479271,0.38188014682802623,0.06394670157565181,99.76358433283723,-31284.71775406599,-31333.780599204896,-25.330461276640982,-30536.35027827992,-24.68581267443809,-1.2357891654504216,-1.487518658914003,0.8525394669877325,0.5232171696528312,0.00539134192513302,0.0013758745510131121,3.9184836445758493,0.00565135756412652,0.0013753200223158952,4.10912185704257,0.005653789576882052,0.0013954899959609205,4.051472667841598,0.005775954326354834,0.0013954899959609205,4.139015215496094,0.21353940665721893,0.1860487163066864
glim__original__seed_42,GLiM,original,42,full,1237,35,5000,159.07119488716125,False,0.3,0.15,0.3,0.15,0.3,0.15,2.0,0.5183085527278908,0.07774628290918362,102.58434409608188,-31236.46247625351,-31259.98850657225,-25.270807200139245,-30479.182540139074,-24.639597849748647,-1.233475618783451,-1.4874002622793419,0.858519387513826,0.4906344431629187,0.007089391234330833,0.0018981842789798976,3.734827705000665,0.007919617580353804,0.0019013962711048708,4.165158889131428,0.007939807917965171,0.0019437964924672473,4.084690937932102,0.007782632835055878,0.0019437964924672473,4.003831093026326,0.21870920062065125,0.16475926339626312
glim__original__seed_123,GLiM,original,123,full,1237,35,5000,171.3497576713562,False,0.3,0.15,0.3,0.15,0.3,0.15,2.0,0.5267182892288254,0.0790077433843238,103.52596833918973,-31275.911898612976,-31263.904282978772,-25.273972742909276,-30479.571441957065,-24.639912240870707,-1.2334913574244057,-1.4880084409783059,0.8598509371084714,0.5010294691921905,0.00712341396138072,0.002056613052263856,3.4636627213561084,0.007752925793737438,0.00206812292698051,3.7487741625962356,0.007767383795022431,0.0020296052515069826,3.827041632482546,0.007583846327722205,0.0020296052515069826,3.7366115022077304,0.21920648217201233,0.17495021224021912
glim__original__seed_7,GLiM,original,7,full,1237,35,5000,186.0901186466217,False,0.3,0.15,0.3,0.15,0.3,0.15,2.0,0.5373262303410334,0.08059893455115501,102.73771254143193,-31236.463830828667,-31255.03948244333,-25.266806372225815,-30483.01342129319,-24.64269476256523,-1.2336306524197973,-1.4868714771051204,0.8679290676754275,0.5296025841075918,0.006908153940457851,0.0019008390372619033,3.634265608522446,0.007784888885008802,0.001906597084575088,4.083132691217648,0.007804288355704849,0.0019293734190579304,4.04498594135059,0.007216084203506531,0.0019293734190579304,3.7401179741711084,0.21834386885166168,0.17093801498413086
glim__equal_low__seed_42,GLiM,equal_low,42,full,1237,35,5000,167.4214735031128,False,0.15,0.15,0.15,0.15,0.15,0.15,1.0,0.45582449846685813,0.06837367477002872,101.6622879682129,-31262.412090063095,-31289.410335035325,-25.294592025089187,-30504.246107765008,-24.659859424223935,-1.2344899274692436,-1.486765517443529,0.8679487551107455,0.5329495370872233,0.00435493906843476,0.0018801245372742415,2.3163035118665296,0.004659844871471872,0.0018909658477005453,2.4642670713161436,0.004667222165283607,0.0018941989767848066,2.4639555941507796,0.004572636873060983,0.0018941989767848066,2.414021403824496,0.24250003695487976,0.2300584763288498
glim__equal_low__seed_123,GLiM,equal_low,123,full,1237,35,5000,168.31827592849731,False,0.15,0.15,0.15,0.15,0.15,0.15,1.0,0.41708071320172385,0.06256210698025857,103.15329302533416,-31222.274507403374,-31250.818360002042,-25.263393985450318,-30500.434147089567,-24.65677780686303,-1.2343356595341792,-1.487962221249084,0.8594807306250098,0.4726103468039459,0.0042819714872166514,0.0015620985301211475,2.741166069008826,0.004559551176886852,0.0015671615041423477,2.909432859877536,0.004566147147683143,0.001574634068450074,2.899814781841753,0.004427002066951701,0.001574634068450074,2.8114481679602155,0.2374206781387329,0.21866244077682495
glim__equal_low__seed_7,GLiM,equal_low,7,full,1237,35,5000,168.8900899887085,False,0.15,0.15,0.15,0.15,0.15,0.15,1.0,0.44819716841352747,0.06722957526202912,102.18430818970418,-31260.35251879692,-31267.490199888944,-25.27687162480917,-30508.041494544475,-24.66292764312407,-1.234643524667927,-1.4875591077518022,0.8690848728066207,0.5351449243963033,0.004385274893138558,0.0017956594470888375,2.442152881632462,0.004666567646063376,0.0018124350174589922,2.57475032269341,0.00467096735549783,0.001792418224106585,2.6059584156627467,0.004637381618838334,0.001792418224106585,2.587220748187715,0.2444320172071457,0.23126883804798126
glim__equal_high__seed_42,GLiM,equal_high,42,full,1237,35,5000,167.57615041732788,False,0.3,0.3,0.3,0.3,0.3,0.3,1.0,0.4838911770345511,0.14516735311036533,104.48619988001052,-31287.71881365776,-31255.610463124514,-25.267267957255065,-30473.94033045407,-24.635360008451148,-1.2332634694639444,-1.484684591769206,0.8686289744926822,0.5256922769944372,0.006920323183294386,0.003047049418091774,2.271155545494324,0.007482504409646785,0.0030855808656274214,2.4249905400308784,0.007496535889440625,0.003115581845100049,2.406143141843829,0.007368462686043208,0.003115581845100049,2.3650358271382816,0.21853622794151306,0.1714123636484146
