Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Mindat_id,Macrostrat_raw_lithology,Macrostrat_evaporite_merged,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_evaporite_merged,GLiM_model_lithology,Combined_raw_lithology,Combined_evaporite_merged,Combined_model_lithology
IOCG,Unknown,-19.7023545167,134.244931032,,125,metamorphic,False,metamorphic,other,False,other,metamorphic,False,metamorphic
Sediment-Hosted,Precambrian,-17.386763822239,131.11581797283,630.0,126,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
IOCG,Precambrian,-21.540337655,140.498235602,1532.5,132,felsic,False,felsic,metamorphic,False,metamorphic,felsic,False,felsic
IOCG,Precambrian,-20.7195375299,140.510681958,1532.5,134,metamorphic,False,metamorphic,mafic,False,mafic,metamorphic,False,metamorphic
VMS,Paleozoic,-23.642494444444,150.37543055556,390.0,140,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
Sediment-Hosted,Precambrian,-33.6780555556,138.926388889,630.0,152,carbonate,False,carbonate,other,False,other,carbonate,False,carbonate
Sediment-Hosted,Precambrian,-31.44388961792,137.14721679688,630.0,163,carbonate,False,carbonate,other,False,other,carbonate,False,carbonate
IOCG,Unknown,-33.908755555556,137.65188888889,,171,felsic,False,felsic,other,False,other,felsic,False,felsic
VMS,Precambrian,-20.863855555556,117.83245555556,3200.0,231,mafic,False,mafic,siliciclastic,False,siliciclastic,mafic,False,mafic
Magmatic sulfide,Precambrian,55.7197625842,-97.8353118896,1847.0,506,felsic,False,felsic,metamorphic,False,metamorphic,felsic,False,felsic
VMS,Paleozoic,49.89466,-56.081527,464.5,511,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
VMS,Precambrian,46.4155555556,-81.3613888889,1500.0,559,felsic,False,felsic,other,False,other,felsic,False,felsic
VMS,Precambrian,49.7197222222,-77.7180555556,2725.0,579,volcanic,False,volcanic,volcanic,False,volcanic,volcanic,False,volcanic
VMS,Unknown,48.25427,-79.011281,,609,volcanic,False,volcanic,volcanic,False,volcanic,volcanic,False,volcanic
Porphyry,Cenozoic,-22.2894444444,-68.9011111111,33.035,641,other,False,other,felsic,False,felsic,felsic,False,felsic
VMS,Mesozoic,-27.5902777778,-70.35,150.5,648,other,False,other,carbonate,False,carbonate,carbonate,False,carbonate
Magmatic sulfide,Paleozoic,41.992858333333,110.12308055556,367.0,721,other,False,other,other,False,other,other,False,other
Magmatic sulfide,Mesozoic,30.6986111111,101.909722222,250.2,730,other,False,other,mafic,False,mafic,mafic,False,mafic
VMS,Precambrian,62.761111111111,29.0925,1800.0,1666,siliciclastic,False,siliciclastic,metamorphic,False,metamorphic,siliciclastic,False,siliciclastic
VMS,Paleozoic,45.8958333333,4.61277777778,406.0,1728,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
Porphyry,Cenozoic,40.533055555556,8.3341666666667,30.5,2120,carbonate,False,carbonate,other,False,other,carbonate,False,carbonate
Porphyry,Cenozoic,30.320611061173,-109.56493377686,53.8,2355,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
VMS,Precambrian,69.2833333333,22.4833333333,1520.5,2461,volcanic,False,volcanic,volcanic,False,volcanic,volcanic,False,volcanic
VMS,Cenozoic,16.859871411637,120.77577662768,1.4300000000000002,2567,other,False,other,felsic,False,felsic,felsic,False,felsic
Porphyry,Mesozoic,44.7377777778,21.7025,69.05,2596,carbonate,False,carbonate,metamorphic,False,metamorphic,carbonate,False,carbonate
Magmatic sulfide,Precambrian,67.922425,32.838977777778,2496.5,2725,metamorphic,False,metamorphic,metamorphic,False,metamorphic,metamorphic,False,metamorphic
Magmatic sulfide,Mesozoic,69.4918008,88.4238928,232.3,2751,carbonate,False,carbonate,siliciclastic,False,siliciclastic,carbonate,False,carbonate
Sediment-Hosted,Precambrian,56.5833333333,118.5,2100.0,2778,metamorphic,False,metamorphic,other,False,other,metamorphic,False,metamorphic
Magmatic sulfide,Unknown,-24.2972222,29.8791667,,3064,mafic,False,mafic,mafic,False,mafic,mafic,False,mafic
Magmatic sulfide,Unknown,-30.716666666667,29.299722222222,,3075,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
VMS,Paleozoic,37.699166666667,-6.5708333333333,350.0,3123,carbonate,False,carbonate,other,False,other,carbonate,False,carbonate
Porphyry,Cenozoic,33.0583333333,-110.745833333,63.5,3326,carbonate,False,carbonate,siliciclastic,False,siliciclastic,carbonate,False,carbonate
VMS,Precambrian,34.75,-112.122222222,1520.5,3346,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
Porphyry,Unknown,31.9822222222,-111.063055556,,3373,other,False,other,other,False,other,other,False,other
Porphyry,Cenozoic,32.4,-111.5,63.2,3374,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
Porphyry,Cenozoic,31.8930555556,-111.035,58.0,3376,other,False,other,other,False,other,other,False,other
