source,prior_setting,n_seeds,ratio_weighted_nonmissing_primary_mean,ratio_weighted_nonmissing_primary_median,ratio_weighted_nonmissing_primary_min,ratio_weighted_nonmissing_primary_max,ratio_weighted_nonmissing_primary_std,ratio_weighted_all_mean,ratio_weighted_all_median,ratio_weighted_all_min,ratio_weighted_all_max,ratio_weighted_all_std,ratio_weighted_strict_mean,ratio_weighted_strict_median,ratio_weighted_strict_min,ratio_weighted_strict_max,ratio_weighted_strict_std,ratio_unweighted_observed_mean,ratio_unweighted_observed_median,ratio_unweighted_observed_min,ratio_unweighted_observed_max,ratio_unweighted_observed_std,lithology_effect_weighted_nonmissing_mean,lithology_effect_weighted_nonmissing_median,lithology_effect_weighted_nonmissing_min,lithology_effect_weighted_nonmissing_max,lithology_effect_weighted_nonmissing_std,age_effect_weighted_nonmissing_mean,age_effect_weighted_nonmissing_median,age_effect_weighted_nonmissing_min,age_effect_weighted_nonmissing_max,age_effect_weighted_nonmissing_std,posterior_sigma_litho_mean_mean,posterior_sigma_litho_mean_median,posterior_sigma_litho_mean_min,posterior_sigma_litho_mean_max,posterior_sigma_litho_mean_std,posterior_sigma_age_mean_mean,posterior_sigma_age_mean_median,posterior_sigma_age_mean_min,posterior_sigma_age_mean_max,posterior_sigma_age_mean_std,posterior_sigma_ratio_lithology_over_age_mean,posterior_sigma_ratio_lithology_over_age_median,posterior_sigma_ratio_lithology_over_age_min,posterior_sigma_ratio_lithology_over_age_max,posterior_sigma_ratio_lithology_over_age_std,effective_age_scale_sigma_times_omega_mean,effective_age_scale_sigma_times_omega_median,effective_age_scale_sigma_times_omega_min,effective_age_scale_sigma_times_omega_max,effective_age_scale_sigma_times_omega_std,omega_a_mean,omega_a_median,omega_a_min,omega_a_max,omega_a_std,kappa_mean,kappa_median,kappa_min,kappa_max,kappa_std,elbo_mean_last_100_per_deposit_mean,elbo_mean_last_100_per_deposit_median,elbo_mean_last_100_per_deposit_min,elbo_mean_last_100_per_deposit_max,elbo_mean_last_100_per_deposit_std,dm_log_prob_mean_per_deposit_mean,dm_log_prob_mean_per_deposit_median,dm_log_prob_mean_per_deposit_min,dm_log_prob_mean_per_deposit_max,dm_log_prob_mean_per_deposit_std,dm_log_prob_total_per_recorded_count_mean,dm_log_prob_total_per_recorded_count_median,dm_log_prob_total_per_recorded_count_min,dm_log_prob_total_per_recorded_count_max,dm_log_prob_total_per_recorded_count_std,mean_document_log_prob_per_recorded_count_mean,mean_document_log_prob_per_recorded_count_median,mean_document_log_prob_per_recorded_count_min,mean_document_log_prob_per_recorded_count_max,mean_document_log_prob_per_recorded_count_std,mean_topic_cosine_to_common_lda_mean,mean_topic_cosine_to_common_lda_median,mean_topic_cosine_to_common_lda_min,mean_topic_cosine_to_common_lda_max,mean_topic_cosine_to_common_lda_std,minimum_topic_cosine_to_common_lda_mean,minimum_topic_cosine_to_common_lda_median,minimum_topic_cosine_to_common_lda_min,minimum_topic_cosine_to_common_lda_max,minimum_topic_cosine_to_common_lda_std,primary_ratio_all_seeds_gt_1,strict_ratio_all_seeds_gt_1
Combined,equal_high,3,4.91114092645414,4.959012572223527,4.700703862557411,5.07370634458148,0.1559946233059146,4.87991225989942,4.93132768438086,4.620144946780893,5.088264148536509,0.1945362968172158,4.993525136176794,5.039690708588038,4.755470699438759,5.185414000503586,0.1785333873344581,4.633044395593398,4.7092775891955965,4.375072889905114,4.814782707679483,0.18742964158475547,0.006727463601934678,0.006717895368991185,0.006599068192578249,0.006865427244234601,0.00010895090457346216,0.00137099536755876,0.0013531384707683384,0.0013307222146483391,0.0014291254172596024,4.2110561963131894e-05,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.0,1.0,1.0,1.0,1.0,0.0,0.08072116008757145,0.0791828685801766,0.0786752195250172,0.08430539215752055,0.0025428942223694297,0.26907053362523814,0.26394289526725534,0.26225073175005736,0.2810179738584018,0.008476314074564765,99.5116372826859,99.60259145044203,98.61136547132047,100.32095492629517,0.7008939632661211,-25.2884037676827,-25.289910570389818,-25.29161849787376,-25.28368223478453,0.003410660615775421,-24.67272401745539,-24.672494367406507,-24.674004320274285,-24.671673364685375,0.0009653644728223155,-1.2351339380652497,-1.2351224416220903,-1.2351980309259123,-1.2350813416477462,4.832682528863913e-05,-1.4876516723373934,-1.4868576584957136,-1.4898116191766102,-1.4862857393398565,0.0015450567716410752,0.8480973042118715,0.8469262685090797,0.8464615363934949,0.8509041077330401,0.001993757506091991,0.5366339314792298,0.5354857537957491,0.5333692730438382,0.541046767598102,0.003237768228509655,True,True
Combined,learned_equal_hyperprior,3,4.219442475446482,4.178770361681117,3.912378461581342,4.567178603076986,0.2688636233660551,4.236433943554899,4.125809158929045,3.959738600804616,4.623754070931033,0.2821436021744235,4.292789099189334,4.251643343557149,3.9863820598476183,4.640341894163234,0.2685586169776655,4.036908912595184,3.9600913174652748,3.760211143691578,4.390424276628699,0.26295481921521835,0.005928102427613324,0.005935768495105858,0.00588495231837842,0.005963586469355693,3.2556708147264404e-05,0.001411092038194819,0.0014204581686364556,0.0012885312421138135,0.0015242867038341875,9.647435836301787e-05,0.23990016598191446,0.2396037584763805,0.23835832698666917,0.2417384124826938,0.001395740555430857,0.17000731476262587,0.16973284715173312,0.1687349820223882,0.17155411511375626,0.001167155287806919,1.4112365837701704,1.4116522670605183,1.3894060590071857,1.4326514252428064,0.01765729348195143,0.06297503356440341,0.06288171945159327,0.060291837096492884,0.06575154414512409,0.002229892509659823,0.370413637911345,0.36654159773373474,0.3573167601279811,0.3873825558723193,0.012575970202144451,99.60553100364187,99.69653178892592,98.60158547116731,100.51847575083237,0.7852082285442203,-25.316640257608597,-25.304216952859246,-25.3486149845821,-25.297088835384447,0.022796050658774537,-24.682158355960734,-24.681882517275596,-24.682744285250337,-24.68184826535627,0.0004145504776703819,-1.2356062276941897,-1.2355924190153749,-1.23563555972702,-1.2355907043401744,2.0752688825470354e-05,-1.488707512046976,-1.4884893707568616,-1.4891600191398209,-1.4884731462442449,0.0003200393835230812,0.8457243287259516,0.8453531239635023,0.8440554224622995,0.847764439752053,0.0015367817120357607,0.5371641688831109,0.535444905584107,0.5331376397072417,0.542909961357984,0.004170648816820384,True,True
Combined,original,3,4.824105358053207,4.927391125056275,4.581513510471204,4.963411438632141,0.17216749428480604,4.8310580431602785,4.895505852966666,4.600743589170031,4.99692468734414,0.16803770564814907,4.90681461997995,5.04222720023056,4.625440764384016,5.052775895325272,0.1990079624901831,4.548356883093323,4.606621035687873,4.353278067548374,4.685171546043722,0.14162004066069683,0.006901525828521196,0.006899769671870136,0.006672974641609659,0.007131833172083793,0.0001873323264715368,0.0014312233251985162,0.0014368813184766412,0.0014002886104949371,0.0014565000466239704,2.329436346520445e-05,0.3,0.3,0.3,0.3,0.0,0.15,0.15,0.15,0.15,0.0,2.0,2.0,2.0,2.0,0.0,0.06342902953897839,0.06442371120709565,0.06070672528683968,0.06515665212299981,0.0019480769881194725,0.4228601969265226,0.42949140804730435,0.40471150191226457,0.4343776808199988,0.012987179920796468,101.02407835886599,100.62402713867232,99.40867160708035,103.03953633084527,1.5090450390128511,-25.300897484117684,-25.292455912470913,-25.31778894356787,-25.292447596314265,0.011944066003880904,-24.675011746026886,-24.6747228541962,-24.677430332187967,-24.672882051696497,0.001868030642976668,-1.2352484633684848,-1.235234001240012,-1.2353695394948003,-1.235141849370642,9.351492939551172e-05,-1.4876400178210722,-1.4880045341278534,-1.488495292982539,-1.4864202263528246,0.0008854864888374876,0.8431131006036683,0.8438152404384551,0.8415473112580125,0.8439767501145373,0.0011091418755338033,0.5342161207004085,0.534307003167202,0.5337349972964904,0.5346063616375331,0.00036149105179152904,True,True
GLiM,equal_high,3,2.414180953820022,2.406143141843829,2.4052654836595777,2.4311342359566597,0.011993134212968755,2.408813685805955,2.4249905400308784,2.3605909846866555,2.440859532700332,0.03470857636105501,2.330693080374443,2.3293136952269897,2.2977297187580565,2.3650358271382816,0.027494909636287375,2.2170529552537492,2.234347595788934,2.1456557244779892,2.271155545494324,0.05267434361061666,0.007508104503890316,0.007496535889440625,0.007423395143201964,0.007604382479028357,7.433921604195201e-05,0.0031102027049235773,0.003115581845100049,0.0030534698715559954,0.0031615563981146877,4.4289770584634434e-05,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.0,1.0,1.0,1.0,1.0,0.0,0.1477770307337266,0.1490167964507707,0.14516735311036533,0.14914694264004383,0.0018460854947789868,0.49259010244575546,0.4967226548359024,0.4838911770345511,0.49715647546681274,0.006153618315929959,104.17362143162302,104.19722879468732,103.83743562017122,104.48619988001052,0.2653824245679492,-25.270996324681295,-25.267267957255065,-25.279819459027596,-25.265901557761232,0.00626378674944635,-24.634755562808024,-24.635360008451148,-24.63563483343103,-24.633271846541895,0.0010551280052438054,-1.2332332104894184,-1.2332634694639444,-1.2332772273959605,-1.2331589346083498,5.282045093021492e-05,-1.4856354014244904,-1.4851347500162573,-1.4870868624880076,-1.484684591769206,0.0010426616664502351,0.8695146327158447,0.8686289744926822,0.8682245187536297,0.8716904049012226,0.0015473384812231285,0.525289703792143,0.5253535964445429,0.5248232379374491,0.5256922769944372,0.00035764873261875815,True,True
GLiM,equal_low,3,2.6565762638850927,2.6059584156627467,2.4639555941507796,2.899814781841753,0.1815028609373309,2.6494834179623634,2.57475032269341,2.4642670713161436,2.909432859877536,0.18926510767127752,2.6042301066574756,2.587220748187715,2.414021403824496,2.8114481679602155,0.16269398046539563,2.4998741541692726,2.442152881632462,2.3163035118665296,2.741166069008826,0.17818690017848177,0.004634778889488193,0.004667222165283607,0.004566147147683143,0.00467096735549783,4.855404960681429e-05,0.0017537504231138219,0.001792418224106585,0.001574634068450074,0.0018941989767848066,0.00013329624096964987,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.0,1.0,1.0,1.0,1.0,0.0,0.06605511900410548,0.06722957526202912,0.06256210698025857,0.06837367477002872,0.002513707841695937,0.4403674600273699,0.44819716841352747,0.41708071320172385,0.45582449846685813,0.01675805227797291,102.33329639441708,102.18430818970418,101.6622879682129,103.15329302533416,0.6177497518941794,-25.278285878449562,-25.27687162480917,-25.294592025089187,-25.263393985450318,0.012775745362381916,-24.659854958070344,-24.659859424223935,-24.66292764312407,-24.65677780686303,0.002510662126385667,-1.2344897038904499,-1.2344899274692436,-1.234643524667927,-1.2343356595341792,0.00012568551397568135,-1.4874289488148051,-1.4875591077518022,-1.487962221249084,-1.486765517443529,0.0004971458613710737,0.8655047861807921,0.8679487551107455,0.8594807306250098,0.8690848728066207,0.004284827873562163,0.5135682694291576,0.5329495370872233,0.4726103468039459,0.5351449243963033,0.02897548965003389,True,True
GLiM,learned_equal_hyperprior,3,3.216656270960426,3.2438003029057207,3.0789361201909586,3.3272323897845992,0.10316768947112218,3.2573774420793575,3.2703539459552,3.156713359824872,3.345065020458001,0.07743977985266644,3.158522517160549,3.1794036143722173,3.063780035417486,3.2323839016919456,0.07039806387605801,3.0363840351940805,3.013327861756053,2.9631016416744704,3.132722602151718,0.07114074270303576,0.006214940417426605,0.006281072248464512,0.006020185482317689,0.0063435635214976124,0.00014005571120874905,0.0019328846978323867,0.0019552810605061566,0.0018877768405203405,0.0019555961924706635,3.1896331246730316e-05,0.23861392148987592,0.2402188976090776,0.23313081366537325,0.2424920531951769,0.003986657968858574,0.1736159499239903,0.170786843084562,0.17076888404291796,0.1792921226444909,0.004013666918293939,1.3747407865644086,1.3651832122225638,1.352496973199441,1.4065421742712207,0.0230756922640426,0.07961206238444786,0.0804552688916594,0.07720338410331494,0.08117753415836926,0.0017285282902660213,0.45864918553578127,0.4527668754267135,0.45204526712335263,0.4711354140572777,0.008834010288053137,102.6662792955075,102.93100941816077,101.81675391653476,103.25107455182693,0.6147522262864648,-25.266374567383323,-25.267459793599652,-25.27341151200241,-25.258252396547903,0.006236076880873069,-24.64222073937275,-24.642221398961915,-24.64292019036005,-24.641520628796286,0.0005713688061639195,-1.2336069224849897,-1.2336069555044877,-1.2336419374939451,-1.233571874456536,2.8603124776408017e-05,-1.4867000903859633,-1.487009917157343,-1.4875638314882178,-1.485526522512329,0.0008600974506829094,0.858811742487766,0.8578008126097412,0.8531714140716417,0.8654630007819153,0.005068679011192588,0.4854021840451826,0.47243675449169337,0.4694138787866751,0.5143559188571794,0.020510542233277196,True,True
GLiM,original,3,3.9855728372550794,4.04498594135059,3.827041632482546,4.084690937932102,0.11326437761084363,3.9990219143151045,4.083132691217648,3.7487741625962356,4.165158889131428,0.1800926191645268,3.826853523135055,3.7401179741711084,3.7366115022077304,4.003831093026326,0.12515022711358353,3.610918678293073,3.634265608522446,3.4636627213561084,3.734827705000665,0.11192682565584108,0.007837160022897484,0.007804288355704849,0.007767383795022431,0.007939807917965171,7.413019817033992e-05,0.00196759172101072,0.0019437964924672473,0.0019293734190579304,0.0020296052515069826,4.424375462594164e-05,0.3,0.3,0.3,0.3,0.0,0.15,0.15,0.15,0.15,0.0,2.0,2.0,2.0,2.0,0.0,0.07911765361488748,0.0790077433843238,0.07774628290918362,0.08059893455115501,0.0011671805177998925,0.5274510240992498,0.5267182892288254,0.5183085527278908,0.5373262303410334,0.007781203451999306,102.94934165890118,102.73771254143193,102.58434409608188,103.52596833918973,0.4125160330805086,-25.270528771758112,-25.270807200139245,-25.273972742909276,-25.266806372225815,0.002932275449289186,-24.64073495106153,-24.639912240870707,-24.64269476256523,-24.639597849748647,0.0013917270546439187,-1.2335325428758848,-1.2334913574244057,-1.2336306524197973,-1.233475618783451,6.96708363656373e-05,-1.4874267267875894,-1.4874002622793419,-1.4880084409783059,-1.4868714771051204,0.00046454062605247526,0.8620997974325749,0.8598509371084714,0.858519387513826,0.8679290676754275,0.004157607465350322,0.5070888321542336,0.5010294691921905,0.4906344431629187,0.5296025841075918,0.016475555869232685,True,True
GLiM,reversed,3,1.8572405865142538,1.8749395420543418,1.8133391357526027,1.8834430817358168,0.031236523291513052,1.867337315497455,1.8602782613844944,1.8298080090124214,1.9119256760954497,0.033893957136113526,1.814536006299279,1.8089799037181609,1.798827147094434,1.8358009680852423,0.01559740505306393,1.7808124104377088,1.7740853581490694,1.7465015902709886,1.821850282893068,0.031126583433186895,0.004682452618218968,0.004671761849053974,0.004536341469048351,0.0048392545365545814,0.00012389458160202968,0.0025229737336175014,0.0024916866620324184,0.0024085365323955384,0.002668698006424547,0.00010849011868526452,0.15,0.15,0.15,0.15,0.0,0.3,0.3,0.3,0.3,0.0,0.5,0.5,0.5,0.5,0.0,0.11463880630393554,0.11371435293902651,0.11316050053651922,0.1170415654362609,0.001713986913003414,0.38212935434645184,0.3790478431300884,0.3772016684550641,0.390138551454203,0.00571328971001137,101.03942926690245,100.70351550987817,100.33760349973477,102.07716879109438,0.7488437263961825,-25.26661569307898,-25.26283886145177,-25.27534191769077,-25.261666300094408,0.006188913314183998,-24.657097896943522,-24.656910489897037,-24.65947791279609,-24.654905288137446,0.001871463797496733,-1.234351683469006,-1.2343423017402928,-1.2344708287385173,-1.234241919928208,9.368679552831583e-05,-1.4881204848874396,-1.4887532060393955,-1.4891475281765925,-1.486460720446331,0.001184619766548906,0.8674636853637144,0.8717058606543728,0.8581767484489744,0.8725084469877963,0.006575025178629678,0.5122582967103957,0.5288541902248358,0.47865983966763165,0.5292608602387195,0.023758276899723353,True,True
Macrostrat,equal_high,3,3.967939402560361,3.970483306629519,3.95412847280181,3.9792064282497535,0.010394856045085261,3.9225092815013287,3.921127677063594,3.9134997497084645,3.932900417731927,0.00798031340470306,3.89523395814642,3.8908769090026296,3.870870402428246,3.923954563008385,0.02188941805310735,3.593167167064672,3.5872202401757756,3.5373035006684406,3.6549777603498006,0.04822400717799832,0.0069021944698152435,0.006814876802054494,0.006776082551913706,0.007115624055477531,0.00015174625637991466,0.0017394332461674227,0.001723483910280138,0.0017066140387996785,0.0017882017894224513,3.516557264669535e-05,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.0,1.0,1.0,1.0,1.0,0.0,0.1014633756372215,0.10251141268478976,0.09932035920984222,0.10255835501703252,0.0015154626249987558,0.33821125212407166,0.3417047089492992,0.3310678640328074,0.3418611833901084,0.005051542083329191,101.40057563643931,101.32926879531215,101.0787143024878,101.793743811518,0.2962322274721241,-25.300463671540353,-25.299715093504354,-25.308456589092433,-25.29321933202427,0.0062430642875270686,-24.67641127957761,-24.676419260904314,-24.677165732060235,-24.675648845768293,0.0006192919515339379,-1.2353185250035414,-1.2353189245543763,-1.235356293426083,-1.2352803570301651,3.100219117959912e-05,-1.486894585302605,-1.4870973882115597,-1.4871670220668902,-1.486419345629365,0.0003372454879539446,0.8539790934081561,0.8539805003799403,0.8523205850859155,0.8556361947586125,0.0013535923463381385,0.5244230232910043,0.5240852980243492,0.5239044015431686,0.5252793703054951,0.0006100155960554502,True,True
Macrostrat,equal_low,3,3.0895404528065065,3.109354851993248,2.9152546243741404,3.24401188205213,0.13494391780868742,3.080148140665477,3.15112676972239,2.9211592117949596,3.1681584404790812,0.11263696574907335,3.091536464614983,3.0660820280612877,2.9500217565992775,3.2585056091843843,0.12721770862485315,2.961894095844361,3.007332582682127,2.8605388552119146,3.0178108496390412,0.07179652787496485,0.00442984136055235,0.004466399756309233,0.004292808819622526,0.00453031550572529,0.00010034853830895909,0.0014351629177798274,0.0014364393801646837,0.0013965163108032319,0.0014725330623715672,3.104683179666341e-05,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.0,1.0,1.0,1.0,1.0,0.0,0.05540767325781585,0.05525334303676817,0.05521061059835824,0.05575906613832116,0.00024908396532826317,0.3693844883854391,0.36835562024512114,0.36807073732238826,0.3717271075888078,0.0016605597688550946,99.11924500577658,99.11762514879051,98.27671786483913,99.9633920037001,0.6885827864186393,-25.315890083855226,-25.30670101153918,-25.336962148264327,-25.304007091762177,0.014940732351241518,-24.696296622909653,-24.696114805066927,-24.697170642900122,-24.695604420761903,0.0006522045908617445,-1.2363139992933727,-1.2363048973641355,-1.236357753349553,-1.2362793471664297,3.264982108031424e-05,-1.4874218736281717,-1.4874788911816856,-1.4876810924403052,-1.4871056372625238,0.0002383630514787926,0.8472476324662864,0.8490765713387355,0.8435895358969273,0.8490767901631964,0.00258666489197171,0.5222318783489065,0.5215727090335227,0.5205335338896293,0.5245893921235673,0.001720150118101739,True,True
