source,lithology_class,count,threshold,warning
Macrostrat,carbonate,100,20,adequate_count
Macrostrat,felsic,224,20,adequate_count
Macrostrat,mafic,156,20,adequate_count
Macrostrat,metamorphic,94,20,adequate_count
Macrostrat,other,375,20,adequate_count
Macrostrat,siliciclastic,56,20,adequate_count
Macrostrat,unknown,2,20,rare_class
Macrostrat,volcanic,230,20,adequate_count
GLiM,carbonate,75,20,adequate_count
GLiM,felsic,161,20,adequate_count
GLiM,mafic,27,20,adequate_count
GLiM,metamorphic,196,20,adequate_count
GLiM,other,331,20,adequate_count
GLiM,siliciclastic,134,20,adequate_count
GLiM,unknown,8,20,rare_class
GLiM,volcanic,305,20,adequate_count
Combined,carbonate,142,20,adequate_count
Combined,felsic,277,20,adequate_count
Combined,mafic,167,20,adequate_count
Combined,metamorphic,139,20,adequate_count
Combined,other,139,20,adequate_count
Combined,siliciclastic,100,20,adequate_count
Combined,unknown,1,20,rare_class
Combined,volcanic,272,20,adequate_count
