source,prior_setting,reference_seed,seed,topic,cosine_to_reference_seed
Macrostrat,original,42,42,1,1.0000001192092896
Macrostrat,original,42,42,2,1.0
Macrostrat,original,42,42,3,1.0000001192092896
Macrostrat,original,42,42,4,0.9999998807907104
Macrostrat,original,42,42,5,1.0000001192092896
Macrostrat,original,42,42,6,1.0000001192092896
Macrostrat,original,42,42,7,0.9999999403953552
Macrostrat,original,42,123,1,0.999786376953125
Macrostrat,original,42,123,2,0.9959846138954163
Macrostrat,original,42,123,3,0.9999523758888245
Macrostrat,original,42,123,4,0.9992589354515076
Macrostrat,original,42,123,5,0.9986007809638977
Macrostrat,original,42,123,6,0.9958206415176392
Macrostrat,original,42,123,7,0.9998235702514648
Macrostrat,original,42,7,1,0.9995798468589783
Macrostrat,original,42,7,2,0.9988716840744019
Macrostrat,original,42,7,3,0.9999884366989136
Macrostrat,original,42,7,4,0.9997577667236328
Macrostrat,original,42,7,5,0.999374508857727
Macrostrat,original,42,7,6,0.9981985092163086
Macrostrat,original,42,7,7,0.9998438358306885
Macrostrat,equal_low,42,42,1,1.0
Macrostrat,equal_low,42,42,2,1.0
Macrostrat,equal_low,42,42,3,1.0
Macrostrat,equal_low,42,42,4,1.0000001192092896
Macrostrat,equal_low,42,42,5,1.0
Macrostrat,equal_low,42,42,6,0.9999999403953552
Macrostrat,equal_low,42,42,7,0.9999999403953552
Macrostrat,equal_low,42,123,1,0.9994131326675415
Macrostrat,equal_low,42,123,2,0.9987972378730774
Macrostrat,equal_low,42,123,3,0.9999774098396301
Macrostrat,equal_low,42,123,4,0.9998642206192017
Macrostrat,equal_low,42,123,5,0.9987040758132935
Macrostrat,equal_low,42,123,6,0.9991713166236877
Macrostrat,equal_low,42,123,7,0.9999851584434509
Macrostrat,equal_low,42,7,1,0.9995449781417847
Macrostrat,equal_low,42,7,2,0.9997708201408386
Macrostrat,equal_low,42,7,3,1.0
Macrostrat,equal_low,42,7,4,0.999554455280304
Macrostrat,equal_low,42,7,5,0.9996813535690308
Macrostrat,equal_low,42,7,6,0.9993322491645813
Macrostrat,equal_low,42,7,7,0.9988742470741272
Macrostrat,equal_high,42,42,1,1.0
Macrostrat,equal_high,42,42,2,1.0000001192092896
Macrostrat,equal_high,42,42,3,1.0
Macrostrat,equal_high,42,42,4,1.0
Macrostrat,equal_high,42,42,5,1.0
Macrostrat,equal_high,42,42,6,1.0000001192092896
Macrostrat,equal_high,42,42,7,1.0000001192092896
Macrostrat,equal_high,42,123,1,0.9993559122085571
Macrostrat,equal_high,42,123,2,0.9991165995597839
Macrostrat,equal_high,42,123,3,0.9998412728309631
Macrostrat,equal_high,42,123,4,0.9997859001159668
Macrostrat,equal_high,42,123,5,0.9991841316223145
Macrostrat,equal_high,42,123,6,0.9989526271820068
Macrostrat,equal_high,42,123,7,0.9999309778213501
Macrostrat,equal_high,42,7,1,0.9996479153633118
Macrostrat,equal_high,42,7,2,0.9969529509544373
Macrostrat,equal_high,42,7,3,0.9999988675117493
Macrostrat,equal_high,42,7,4,0.9993290305137634
Macrostrat,equal_high,42,7,5,0.9988188743591309
Macrostrat,equal_high,42,7,6,0.9995079636573792
Macrostrat,equal_high,42,7,7,0.99994295835495
Macrostrat,reversed,42,42,1,1.0000001192092896
Macrostrat,reversed,42,42,2,1.0000001192092896
Macrostrat,reversed,42,42,3,1.0
Macrostrat,reversed,42,42,4,1.0
Macrostrat,reversed,42,42,5,1.0
Macrostrat,reversed,42,42,6,1.0
Macrostrat,reversed,42,42,7,1.0000001192092896
Macrostrat,reversed,42,123,1,0.9995363354682922
Macrostrat,reversed,42,123,2,0.9966115355491638
Macrostrat,reversed,42,123,3,0.999934732913971
Macrostrat,reversed,42,123,4,0.9991395473480225
Macrostrat,reversed,42,123,5,0.9924426674842834
Macrostrat,reversed,42,123,6,0.9970999956130981
Macrostrat,reversed,42,123,7,0.9999536275863647
Macrostrat,reversed,42,7,1,0.9997647404670715
Macrostrat,reversed,42,7,2,0.9963172078132629
Macrostrat,reversed,42,7,3,0.9999902844429016
Macrostrat,reversed,42,7,4,0.9996038675308228
Macrostrat,reversed,42,7,5,0.995110034942627
Macrostrat,reversed,42,7,6,0.9951941967010498
Macrostrat,reversed,42,7,7,0.999895453453064
Macrostrat,learned_equal_hyperprior,42,42,1,0.9999999403953552
Macrostrat,learned_equal_hyperprior,42,42,2,1.0
Macrostrat,learned_equal_hyperprior,42,42,3,1.0
Macrostrat,learned_equal_hyperprior,42,42,4,1.0000001192092896
Macrostrat,learned_equal_hyperprior,42,42,5,1.0000001192092896
Macrostrat,learned_equal_hyperprior,42,42,6,0.9999999403953552
Macrostrat,learned_equal_hyperprior,42,42,7,0.9999999403953552
Macrostrat,learned_equal_hyperprior,42,123,1,0.9990819692611694
Macrostrat,learned_equal_hyperprior,42,123,2,0.9993991851806641
Macrostrat,learned_equal_hyperprior,42,123,3,0.9999526143074036
Macrostrat,learned_equal_hyperprior,42,123,4,0.9996886253356934
Macrostrat,learned_equal_hyperprior,42,123,5,0.9993466734886169
Macrostrat,learned_equal_hyperprior,42,123,6,0.9983370900154114
Macrostrat,learned_equal_hyperprior,42,123,7,0.9999910593032837
Macrostrat,learned_equal_hyperprior,42,7,1,0.9993791580200195
Macrostrat,learned_equal_hyperprior,42,7,2,0.9989687204360962
Macrostrat,learned_equal_hyperprior,42,7,3,0.9999663233757019
Macrostrat,learned_equal_hyperprior,42,7,4,0.9998851418495178
Macrostrat,learned_equal_hyperprior,42,7,5,0.9988680481910706
Macrostrat,learned_equal_hyperprior,42,7,6,0.997664749622345
Macrostrat,learned_equal_hyperprior,42,7,7,0.9999803900718689
GLiM,original,42,42,1,1.0000001192092896
GLiM,original,42,42,2,1.0
GLiM,original,42,42,3,0.9999999403953552
GLiM,original,42,42,4,1.0
GLiM,original,42,42,5,0.9999999403953552
GLiM,original,42,42,6,0.9999999403953552
GLiM,original,42,42,7,1.0000001192092896
GLiM,original,42,123,1,0.9996061325073242
GLiM,original,42,123,2,0.9996201992034912
GLiM,original,42,123,3,0.999538004398346
GLiM,original,42,123,4,0.9989044070243835
GLiM,original,42,123,5,0.9993207454681396
GLiM,original,42,123,6,0.9987248182296753
GLiM,original,42,123,7,0.9991673231124878
GLiM,original,42,7,1,0.9987394213676453
GLiM,original,42,7,2,0.9958547353744507
GLiM,original,42,7,3,0.999963641166687
GLiM,original,42,7,4,0.9985882043838501
GLiM,original,42,7,5,0.995471179485321
GLiM,original,42,7,6,0.9965483546257019
GLiM,original,42,7,7,0.9645918607711792
GLiM,equal_low,42,42,1,0.9999999403953552
GLiM,equal_low,42,42,2,1.0
GLiM,equal_low,42,42,3,0.9999999403953552
GLiM,equal_low,42,42,4,1.0000001192092896
GLiM,equal_low,42,42,5,1.0000001192092896
GLiM,equal_low,42,42,6,1.0
GLiM,equal_low,42,42,7,1.0
GLiM,equal_low,42,123,1,0.9996829628944397
GLiM,equal_low,42,123,2,0.997708797454834
GLiM,equal_low,42,123,3,0.9999964237213135
GLiM,equal_low,42,123,4,0.9995229840278625
GLiM,equal_low,42,123,5,0.9954454302787781
GLiM,equal_low,42,123,6,0.9950052499771118
GLiM,equal_low,42,123,7,0.5936079025268555
GLiM,equal_low,42,7,1,0.9996811747550964
GLiM,equal_low,42,7,2,0.9978851079940796
GLiM,equal_low,42,7,3,0.9999932050704956
GLiM,equal_low,42,7,4,0.999570369720459
GLiM,equal_low,42,7,5,0.9992823004722595
GLiM,equal_low,42,7,6,0.9984345436096191
GLiM,equal_low,42,7,7,0.995621383190155
GLiM,equal_high,42,42,1,1.0000001192092896
GLiM,equal_high,42,42,2,0.9999999403953552
GLiM,equal_high,42,42,3,0.9999999403953552
GLiM,equal_high,42,42,4,1.0
GLiM,equal_high,42,42,5,1.0
GLiM,equal_high,42,42,6,0.9999999403953552
GLiM,equal_high,42,42,7,0.9999999403953552
GLiM,equal_high,42,123,1,0.9996289610862732
GLiM,equal_high,42,123,2,0.9963021874427795
GLiM,equal_high,42,123,3,0.9995732307434082
GLiM,equal_high,42,123,4,0.9998261332511902
GLiM,equal_high,42,123,5,0.9991385340690613
GLiM,equal_high,42,123,6,0.9995468854904175
GLiM,equal_high,42,123,7,0.9477849006652832
GLiM,equal_high,42,7,1,0.999282956123352
GLiM,equal_high,42,7,2,0.9975191354751587
GLiM,equal_high,42,7,3,0.9999189972877502
