likelihood,source,prior_setting,seed,topic,rank,family,profile_value
binary_dm,Macrostrat,original,42,1,1,Mo_sulfides,0.13396242260932922
binary_dm,Macrostrat,original,42,1,2,Micas_sericite,0.1107659712433815
binary_dm,Macrostrat,original,42,1,3,Clay_minerals,0.10680339485406876
binary_dm,Macrostrat,original,42,1,4,Fe_sulfides,0.10162900388240814
binary_dm,Macrostrat,original,42,1,5,Cu_sulfides_primary,0.08562534302473068
binary_dm,Macrostrat,original,42,1,6,Skarn_calc_silicates,0.07979127764701843
binary_dm,Macrostrat,original,42,1,7,Evaporite_sulfates,0.07783205807209015
binary_dm,Macrostrat,original,42,1,8,Fe_oxides_hydroxides,0.07447152584791183
binary_dm,Macrostrat,original,42,1,9,Cu_sulfides_supergene,0.07228760421276093
binary_dm,Macrostrat,original,42,1,10,Other_silicates,0.05571994557976723
binary_dm,Macrostrat,original,42,2,1,Cu_carbonates_silicates,0.4345996677875519
binary_dm,Macrostrat,original,42,2,2,Cu_sulfides_supergene,0.28657591342926025
binary_dm,Macrostrat,original,42,2,3,Cu_oxides,0.0489274226129055
binary_dm,Macrostrat,original,42,2,4,Cu_sulfides_primary,0.02978874370455742
binary_dm,Macrostrat,original,42,2,5,Other_silicates,0.022304024547338486
binary_dm,Macrostrat,original,42,2,6,Carbonates,0.01944490149617195
binary_dm,Macrostrat,original,42,2,7,Native_elements_misc,0.015499414876103401
binary_dm,Macrostrat,original,42,2,8,Fe_sulfides,0.012058168649673462
binary_dm,Macrostrat,original,42,2,9,Cu_sulfides_other,0.011281060054898262
binary_dm,Macrostrat,original,42,2,10,Fe_oxides_hydroxides,0.007792825344949961
binary_dm,Macrostrat,original,42,3,1,Zn_sulfides,0.33667537569999695
binary_dm,Macrostrat,original,42,3,2,Barite,0.29411646723747253
binary_dm,Macrostrat,original,42,3,3,Pb_sulfides,0.2797059118747711
binary_dm,Macrostrat,original,42,3,4,Cu_sulfides_primary,0.0132308229804039
binary_dm,Macrostrat,original,42,3,5,Evaporite_sulfates,0.012239260599017143
binary_dm,Macrostrat,original,42,3,6,Fe_sulfides,0.01178508996963501
binary_dm,Macrostrat,original,42,3,7,Micas_sericite,0.008434041403234005
binary_dm,Macrostrat,original,42,3,8,Quartz,0.007456446066498756
