Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Mindat_id,Macrostrat_raw_lithology,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_model_lithology
IOCG,Unknown,-19.7023545167,134.244931032,,125,metamorphic,metamorphic,other,other
Sediment-Hosted,Precambrian,-17.386763822239,131.11581797283,630.0,126,mafic,mafic,volcanic,volcanic
IOCG,Precambrian,-21.540337655,140.498235602,1532.5,132,felsic,felsic,metamorphic,metamorphic
IOCG,Precambrian,-20.7195375299,140.510681958,1532.5,134,metamorphic,metamorphic,mafic,mafic
VMS,Paleozoic,-23.642494444444,150.37543055556,390.0,140,felsic,felsic,volcanic,volcanic
Sediment-Hosted,Precambrian,-33.6780555556,138.926388889,630.0,152,carbonate,carbonate,other,other
Sediment-Hosted,Precambrian,-31.44388961792,137.14721679688,630.0,163,carbonate,carbonate,other,other
IOCG,Unknown,-33.908755555556,137.65188888889,,171,felsic,felsic,other,other
VMS,Precambrian,-20.863855555556,117.83245555556,3200.0,231,mafic,mafic,siliciclastic,siliciclastic
Magmatic sulfide,Precambrian,55.7197625842,-97.8353118896,1847.0,506,felsic,felsic,metamorphic,metamorphic
VMS,Paleozoic,49.89466,-56.081527,464.5,511,mafic,mafic,volcanic,volcanic
VMS,Precambrian,46.4155555556,-81.3613888889,1500.0,559,felsic,felsic,other,other
VMS,Precambrian,49.7197222222,-77.7180555556,2725.0,579,volcanic,volcanic,volcanic,volcanic
VMS,Unknown,48.25427,-79.011281,,609,volcanic,volcanic,volcanic,volcanic
Porphyry,Cenozoic,-22.2894444444,-68.9011111111,33.035,641,other,other,felsic,felsic
VMS,Mesozoic,-27.5902777778,-70.35,150.5,648,other,other,carbonate,carbonate
Magmatic sulfide,Paleozoic,41.992858333333,110.12308055556,367.0,721,other,other,other,other
Magmatic sulfide,Mesozoic,30.6986111111,101.909722222,250.2,730,other,other,mafic,mafic
VMS,Precambrian,62.761111111111,29.0925,1800.0,1666,siliciclastic,siliciclastic,metamorphic,metamorphic
VMS,Paleozoic,45.8958333333,4.61277777778,406.0,1728,felsic,felsic,volcanic,volcanic
Porphyry,Cenozoic,40.533055555556,8.3341666666667,30.5,2120,carbonate,carbonate,other,other
Porphyry,Cenozoic,30.320611061173,-109.56493377686,53.8,2355,felsic,felsic,volcanic,volcanic
VMS,Precambrian,69.2833333333,22.4833333333,1520.5,2461,volcanic,volcanic,volcanic,volcanic
VMS,Cenozoic,16.859871411637,120.77577662768,1.4300000000000002,2567,other,other,felsic,felsic
Porphyry,Mesozoic,44.7377777778,21.7025,69.05,2596,carbonate,carbonate,metamorphic,metamorphic
Magmatic sulfide,Precambrian,67.922425,32.838977777778,2496.5,2725,metamorphic,metamorphic,metamorphic,metamorphic
Magmatic sulfide,Mesozoic,69.4918008,88.4238928,232.3,2751,carbonate,carbonate,siliciclastic,siliciclastic
Sediment-Hosted,Precambrian,56.5833333333,118.5,2100.0,2778,metamorphic,metamorphic,other,other
Magmatic sulfide,Unknown,-24.2972222,29.8791667,,3064,mafic,mafic,mafic,mafic
Magmatic sulfide,Unknown,-30.716666666667,29.299722222222,,3075,mafic,mafic,volcanic,volcanic
