Deposit_type,age_category,Latitude,Longitude,Mindat_id,mapped_species_count,present_family_count
IOCG,Unknown,-19.7023545167,134.244931032,125,23,12.0
Sediment-Hosted,Precambrian,-17.386763822239,131.11581797283,126,7,4.0
IOCG,Precambrian,-21.540337655,140.498235602,132,43,21.0
IOCG,Precambrian,-20.7195375299,140.510681958,134,43,20.0
VMS,Paleozoic,-23.642494444444,150.37543055556,140,37,22.0
Sediment-Hosted,Precambrian,-33.6780555556,138.926388889,152,48,22.0
Sediment-Hosted,Precambrian,-31.44388961792,137.14721679688,163,36,16.0
IOCG,Unknown,-33.908755555556,137.65188888889,171,51,26.0
VMS,Precambrian,-20.863855555556,117.83245555556,231,65,27.0
Magmatic sulfide,Precambrian,55.7197625842,-97.8353118896,506,53,20.0
VMS,Paleozoic,49.89466,-56.081527,511,12,9.0
VMS,Precambrian,46.4155555556,-81.3613888889,559,53,22.0
VMS,Precambrian,49.7197222222,-77.7180555556,579,28,12.0
VMS,Unknown,48.25427,-79.011281,609,24,15.0
Porphyry,Cenozoic,-22.2894444444,-68.9011111111,641,141,28.0
VMS,Mesozoic,-27.5902777778,-70.35,648,29,15.0
Magmatic sulfide,Paleozoic,41.992858333333,110.12308055556,721,24,13.0
Magmatic sulfide,Mesozoic,30.6986111111,101.909722222,730,53,18.0
VMS,Precambrian,62.761111111111,29.0925,1666,34,14.0
VMS,Paleozoic,45.8958333333,4.61277777778,1728,116,30.0
Porphyry,Cenozoic,40.533055555556,8.3341666666667,2120,37,22.0
Porphyry,Cenozoic,30.320611061173,-109.56493377686,2355,32,19.0
VMS,Precambrian,69.2833333333,22.4833333333,2461,38,19.0
VMS,Cenozoic,16.859871411637,120.77577662768,2567,19,13.0
Porphyry,Mesozoic,44.7377777778,21.7025,2596,70,23.0
Magmatic sulfide,Precambrian,67.922425,32.838977777778,2725,59,19.0
Magmatic sulfide,Mesozoic,69.4918008,88.4238928,2751,187,25.0
Sediment-Hosted,Precambrian,56.5833333333,118.5,2778,60,22.0
Magmatic sulfide,Unknown,-24.2972222,29.8791667,3064,16,8.0
Magmatic sulfide,Unknown,-30.716666666667,29.299722222222,3075,32,14.0
VMS,Paleozoic,37.699166666667,-6.5708333333333,3123,80,25.0
Porphyry,Cenozoic,33.0583333333,-110.745833333,3326,81,25.0
VMS,Precambrian,34.75,-112.122222222,3346,58,23.0
Porphyry,Unknown,31.9822222222,-111.063055556,3373,20,14.0
Porphyry,Cenozoic,32.4,-111.5,3374,52,22.0
Porphyry,Cenozoic,31.8930555556,-111.035,3376,68,23.0
Porphyry,Mesozoic,33.149444444444,-110.98722222222,3377,59,24.0
Sediment-Hosted,Precambrian,46.75,-89.55,3856,47,25.0
Porphyry,Cenozoic,32.79,-108.06731,3978,47,23.0
Porphyry,Cenozoic,40.5222222222,-112.148611111,4181,92,30.0
Sediment-Hosted,Paleozoic,-10.713490343447,25.445446855678,4322,89,22.0
Sediment-Hosted,Unknown,-11.6344444444,27.5808333333,4331,13,7.0
Sediment-Hosted,Precambrian,-12.6819444444,27.9166666667,4343,6,5.0
Sediment-Hosted,Precambrian,-12.5227777778,28.2361111111,4345,20,14.0
Sediment-Hosted,Precambrian,-13.039544,28.713245,4346,5,4.0
Sediment-Hosted,Paleozoic,-12.833055555556,28.201666666667,4349,29,18.0
Sediment-Hosted,Unknown,-12.7733333333,28.1591666667,4350,12,10.0
VMS,Cenozoic,40.402012533194,140.69662520124,4364,20,13.0
VMS,Precambrian,48.69,-81.3666666667,4381,80,23.0
Porphyry,Cenozoic,32.651040512379,-108.36550795271,4464,52,19.0
VMS,Precambrian,45.4425,-91.115277777778,4496,68,26.0
Porphyry,Cenozoic,33.0905555556,-109.366111111,5436,81,29.0
VMS,Paleozoic,-42.0657812716,145.570973714,5774,92,32.0
Porphyry,Cenozoic,31.410301572411,97.73015250491,5792,61,26.0
Porphyry,Cenozoic,31.0166666667,97.9166666667,5793,16,12.0
Porphyry,Cenozoic,27.4,101.133333333,5798,17,14.0
VMS,Paleozoic,44.566012554007,-71.257580934437,6001,9,8.0
VMS,Precambrian,49.1552777778,-85.7894444444,6771,36,14.0
Porphyry,Mesozoic,44.9833333333,21.7833333333,6926,38,17.0
Porphyry,Paleozoic,45.6,-70.3333333333,7377,5,5.0
Porphyry,Paleozoic,45.5358333333,-70.2166666667,7378,10,10.0
Magmatic sulfide,Precambrian,-27.22868394857,120.54439591183,7797,85,25.0
Sediment-Hosted,Unknown,35.993888855,-106.896942139,7971,14,10.0
Magmatic sulfide,Precambrian,46.458842,-81.080933,8049,29,11.0
Porphyry,Cenozoic,38.4891666667,-113.1275,8064,24,17.0
Magmatic sulfide,Precambrian,46.6333333333,-81.3833333333,8082,69,21.0
Magmatic sulfide,Precambrian,46.5361111111,-80.9988888889,8182,11,6.0
Sediment-Hosted,Precambrian,26.180074,103.05997,8302,18,14.0
Porphyry,Paleozoic,40.8138888889,69.6463888889,8417,42,20.0
VMS,Precambrian,18.0163888889,43.7011111111,8418,12,11.0
Porphyry,Cenozoic,7.33333333333,126.15,8428,7,6.0
VMS,Cenozoic,15.987921786818,119.95553389241,8563,6,6.0
Porphyry,Cenozoic,9.49166666667,122.679166667,8577,21,14.0
Porphyry,Cenozoic,17.3444444444,121.058333333,8582,22,16.0
VMS,Paleozoic,23.1097222222,97.2966666667,8587,23,14.0
VMS,Mesozoic,24.35,56.4,8588,16,11.0
VMS,Mesozoic,33.8527777778,133.313888889,8667,33,15.0
VMS,Precambrian,54.6611111111,-102.033333333,8700,12,10.0
Magmatic sulfide,Precambrian,55.7022222222,-97.9247222222,8701,15,7.0
Sediment-Hosted,Precambrian,-31.087736111111,138.67381944444,8744,17,12.0
VMS,Mesozoic,55.393361111111,-129.85136388889,8794,9,8.0
Porphyry,Cenozoic,16.6377777778,120.676666667,8802,21,15.0
Porphyry,Cenozoic,-6.31513109142,155.495322227,8831,21,15.0
Porphyry,Mesozoic,49.879444444444,-120.00638888889,8859,23,15.0
VMS,Mesozoic,49.61,-123.141666667,8875,26,21.0
Porphyry,Cenozoic,-33.149265422398,-70.280914306641,8886,52,25.0
VMS,Paleozoic,47.4083333333,-65.8225,8905,37,18.0
VMS,Paleozoic,47.4788888889,-65.8922222222,8906,42,20.0
VMS,Paleozoic,48.8230555556,-56.8661111111,8945,25,14.0
VMS,Paleozoic,50.1975,82.4347222222,9014,8,6.0
Magmatic sulfide,Mesozoic,61.4652777778,-139.5275,9386,49,17.0
VMS,Precambrian,64.871667,20.362968,9496,75,22.0
VMS,Mesozoic,38.2294444444,-120.881944444,9552,22,16.0
VMS,Paleozoic,-35.5915697261,149.442210503,9592,10,9.0
VMS,Precambrian,64.058,24.79,9697,30,16.0
VMS,Precambrian,64.4138888889,25.1422222222,9702,51,21.0
Porphyry,Cenozoic,40.4722222222,23.7036111111,9706,54,27.0
Sediment-Hosted,Precambrian,-12.648545714661,28.040627977094,9736,14,10.0
VMS,Mesozoic,24.41869265,56.40773624,9743,8,6.0
IOCG,Precambrian,19.75,-14.3833333333,9786,26,17.0
VMS,Precambrian,48.3061111111,-79.0672222222,9832,13,10.0
Porphyry,Cenozoic,47.899009728278,20.089933276176,9905,63,22.0
Sediment-Hosted,Unknown,-12.82324,28.07512,10049,13,11.0
