likelihood,source,prior_setting,seed,sigma_litho,sigma_age
binary_dm,Macrostrat,original,42,0.3,0.15
binary_dm,Macrostrat,original,123,0.3,0.15
binary_dm,Macrostrat,original,7,0.3,0.15
binary_dm,Macrostrat,equal_high,42,0.3,0.3
binary_dm,Macrostrat,equal_high,123,0.3,0.3
binary_dm,Macrostrat,equal_high,7,0.3,0.3
binary_dm,GLiM,original,42,0.3,0.15
binary_dm,GLiM,original,123,0.3,0.15
binary_dm,GLiM,original,7,0.3,0.15
binary_dm,GLiM,equal_high,42,0.3,0.3
binary_dm,GLiM,equal_high,123,0.3,0.3
binary_dm,GLiM,equal_high,7,0.3,0.3
bernoulli,Macrostrat,original,42,0.3,0.15
bernoulli,Macrostrat,original,123,0.3,0.15
bernoulli,Macrostrat,original,7,0.3,0.15
bernoulli,Macrostrat,equal_high,42,0.3,0.3
bernoulli,Macrostrat,equal_high,123,0.3,0.3
bernoulli,Macrostrat,equal_high,7,0.3,0.3
bernoulli,GLiM,original,42,0.3,0.15
bernoulli,GLiM,original,123,0.3,0.15
bernoulli,GLiM,original,7,0.3,0.15
bernoulli,GLiM,equal_high,42,0.3,0.3
bernoulli,GLiM,equal_high,123,0.3,0.3
bernoulli,GLiM,equal_high,7,0.3,0.3
