likelihood,source,prior_setting,reference_seed,seed,topic,cosine_to_reference_seed
binary_dm,Macrostrat,original,42,42,1,1.0
binary_dm,Macrostrat,original,42,42,2,1.0000001192092896
binary_dm,Macrostrat,original,42,42,3,1.0000001192092896
binary_dm,Macrostrat,original,42,42,4,1.0
binary_dm,Macrostrat,original,42,42,5,1.0
binary_dm,Macrostrat,original,42,42,6,1.0
binary_dm,Macrostrat,original,42,42,7,0.9999999403953552
binary_dm,Macrostrat,original,42,123,1,0.9985952377319336
binary_dm,Macrostrat,original,42,123,2,0.9984058737754822
binary_dm,Macrostrat,original,42,123,3,0.9990420937538147
binary_dm,Macrostrat,original,42,123,4,0.9976081252098083
binary_dm,Macrostrat,original,42,123,5,0.9990876913070679
binary_dm,Macrostrat,original,42,123,6,0.9996129870414734
binary_dm,Macrostrat,original,42,123,7,0.9999755024909973
binary_dm,Macrostrat,original,42,7,1,0.9964614510536194
binary_dm,Macrostrat,original,42,7,2,0.9986366629600525
binary_dm,Macrostrat,original,42,7,3,0.9987348318099976
binary_dm,Macrostrat,original,42,7,4,0.9974028468132019
binary_dm,Macrostrat,original,42,7,5,0.9983420968055725
binary_dm,Macrostrat,original,42,7,6,0.9975173473358154
binary_dm,Macrostrat,original,42,7,7,0.9998960494995117
binary_dm,Macrostrat,equal_high,42,42,1,1.0
binary_dm,Macrostrat,equal_high,42,42,2,1.0
binary_dm,Macrostrat,equal_high,42,42,3,1.0000001192092896
binary_dm,Macrostrat,equal_high,42,42,4,1.0000001192092896
binary_dm,Macrostrat,equal_high,42,42,5,0.9999999403953552
binary_dm,Macrostrat,equal_high,42,42,6,1.0000001192092896
binary_dm,Macrostrat,equal_high,42,42,7,1.0
binary_dm,Macrostrat,equal_high,42,123,1,0.9986761808395386
binary_dm,Macrostrat,equal_high,42,123,2,0.996537983417511
binary_dm,Macrostrat,equal_high,42,123,3,0.9985094666481018
binary_dm,Macrostrat,equal_high,42,123,4,0.9964496493339539
binary_dm,Macrostrat,equal_high,42,123,5,0.9910956025123596
binary_dm,Macrostrat,equal_high,42,123,6,0.9980788826942444
binary_dm,Macrostrat,equal_high,42,123,7,0.9999223351478577
binary_dm,Macrostrat,equal_high,42,7,1,0.9969969987869263
binary_dm,Macrostrat,equal_high,42,7,2,0.9964323043823242
binary_dm,Macrostrat,equal_high,42,7,3,0.99932861328125
binary_dm,Macrostrat,equal_high,42,7,4,0.9960586428642273
binary_dm,Macrostrat,equal_high,42,7,5,0.9905785918235779
binary_dm,Macrostrat,equal_high,42,7,6,0.9987190365791321
binary_dm,Macrostrat,equal_high,42,7,7,0.9997893571853638
binary_dm,GLiM,original,42,42,1,0.9999998807907104
binary_dm,GLiM,original,42,42,2,1.0
binary_dm,GLiM,original,42,42,3,1.0000001192092896
binary_dm,GLiM,original,42,42,4,1.0000001192092896
binary_dm,GLiM,original,42,42,5,0.9999999403953552
binary_dm,GLiM,original,42,42,6,1.0
binary_dm,GLiM,original,42,42,7,1.0000001192092896
binary_dm,GLiM,original,42,123,1,0.9982360601425171
binary_dm,GLiM,original,42,123,2,0.8721259236335754
binary_dm,GLiM,original,42,123,3,0.998542845249176
binary_dm,GLiM,original,42,123,4,0.9992027282714844
binary_dm,GLiM,original,42,123,5,0.9996490478515625
binary_dm,GLiM,original,42,123,6,0.9998714327812195
binary_dm,GLiM,original,42,123,7,0.9983646869659424
binary_dm,GLiM,original,42,7,1,0.9979900121688843
binary_dm,GLiM,original,42,7,2,0.9949130415916443
binary_dm,GLiM,original,42,7,3,0.9962904453277588
binary_dm,GLiM,original,42,7,4,0.9985206723213196
binary_dm,GLiM,original,42,7,5,0.9994530081748962
binary_dm,GLiM,original,42,7,6,0.9998591542243958
binary_dm,GLiM,original,42,7,7,0.9998048543930054
binary_dm,GLiM,equal_high,42,42,1,0.9999998807907104
binary_dm,GLiM,equal_high,42,42,2,1.0
binary_dm,GLiM,equal_high,42,42,3,1.0
binary_dm,GLiM,equal_high,42,42,4,1.0000001192092896
binary_dm,GLiM,equal_high,42,42,5,1.0
binary_dm,GLiM,equal_high,42,42,6,0.9999998807907104
binary_dm,GLiM,equal_high,42,42,7,1.0
binary_dm,GLiM,equal_high,42,123,1,0.9990003108978271
binary_dm,GLiM,equal_high,42,123,2,0.9884226322174072
binary_dm,GLiM,equal_high,42,123,3,0.9982906579971313
