Mindat_id,Deposit_type,age_category,Macrostrat_model_lithology,GLiM_model_lithology,mapped_species_count,present_family_count,Mindat_id,documentation_rank_within_type,documentation_percentile_within_type,remove_top_documented
10049,Sediment-Hosted,Unknown,volcanic,metamorphic,13,11.0,10049,64,0.463768115942029,False
10058,VMS,Precambrian,volcanic,felsic,28,16.0,10058,61,0.17888563049853373,False
10328,Magmatic sulfide,Precambrian,siliciclastic,other,15,10.0,10328,54,0.6666666666666666,False
10351,VMS,Precambrian,volcanic,volcanic,27,13.0,10351,66,0.1935483870967742,False
10383,Magmatic sulfide,Precambrian,mafic,volcanic,43,16.0,10383,17,0.20987654320987653,False
10452,VMS,Precambrian,mafic,mafic,8,7.0,10452,251,0.7360703812316716,False
105775,Sediment-Hosted,Mesozoic,other,carbonate,3,3.0,105775,126,0.9130434782608695,False
10591,Porphyry,Precambrian,felsic,volcanic,38,21.0,10591,64,0.10756302521008404,False
10617,VMS,Precambrian,felsic,metamorphic,37,19.0,10617,30,0.08797653958944282,True
10618,VMS,Precambrian,felsic,metamorphic,16,11.0,10618,157,0.4604105571847507,False
10663,VMS,Precambrian,felsic,metamorphic,15,11.0,10663,168,0.49266862170087977,False
10687,VMS,Paleozoic,mafic,volcanic,9,8.0,10687,237,0.6950146627565983,False
107252,Porphyry,Cenozoic,felsic,felsic,37,20.0,107252,69,0.11596638655462185,False
10790,Sediment-Hosted,Paleozoic,other,siliciclastic,13,9.0,10790,67,0.4855072463768116,False
108163,VMS,Cenozoic,felsic,other,34,18.0,108163,40,0.11730205278592376,False
108197,Porphyry,Cenozoic,felsic,felsic,24,14.0,108197,170,0.2857142857142857,False
10867,VMS,Precambrian,mafic,volcanic,7,6.0,10867,268,0.7859237536656891,False
10915,VMS,Precambrian,siliciclastic,volcanic,15,9.0,10915,174,0.5102639296187683,False
10917,VMS,Precambrian,felsic,metamorphic,4,4.0,10917,319,0.9354838709677419,False
10918,VMS,Precambrian,volcanic,metamorphic,21,11.0,10918,106,0.31085043988269795,False
109677,VMS,Precambrian,felsic,siliciclastic,28,16.0,109677,63,0.18475073313782991,False
109688,VMS,Precambrian,mafic,mafic,9,8.0,109688,238,0.6979472140762464,False
11127,Magmatic sulfide,Precambrian,siliciclastic,other,18,10.0,11127,43,0.5308641975308642,False
11182,VMS,Precambrian,volcanic,metamorphic,28,18.0,11182,59,0.17302052785923755,False
11307,Porphyry,Paleozoic,other,other,42,23.0,11307,52,0.08739495798319327,True
11459,Porphyry,Unknown,volcanic,metamorphic,12,11.0,11459,373,0.626890756302521,False
