Mindat_id,Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Macrostrat_raw_lithology,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_model_lithology
125,IOCG,Unknown,-19.7023545167,134.244931032,,metamorphic,metamorphic,other,other
126,Sediment-Hosted,Precambrian,-17.386763822239,131.11581797283,630.0,mafic,mafic,volcanic,volcanic
132,IOCG,Precambrian,-21.540337655,140.498235602,1532.5,felsic,felsic,metamorphic,metamorphic
134,IOCG,Precambrian,-20.7195375299,140.510681958,1532.5,metamorphic,metamorphic,mafic,mafic
511,VMS,Paleozoic,49.89466,-56.081527,464.5,mafic,mafic,volcanic,volcanic
579,VMS,Precambrian,49.7197222222,-77.7180555556,2725.0,volcanic,volcanic,volcanic,volcanic
609,VMS,Unknown,48.25427,-79.011281,,volcanic,volcanic,volcanic,volcanic
648,VMS,Mesozoic,-27.5902777778,-70.35,150.5,other,other,carbonate,carbonate
721,Magmatic sulfide,Paleozoic,41.992858333333,110.12308055556,367.0,other,other,other,other
730,Magmatic sulfide,Mesozoic,30.6986111111,101.909722222,250.2,other,other,mafic,mafic
1666,VMS,Precambrian,62.761111111111,29.0925,1800.0,siliciclastic,siliciclastic,metamorphic,metamorphic
2120,Porphyry,Cenozoic,40.533055555556,8.3341666666667,30.5,carbonate,carbonate,other,other
2355,Porphyry,Cenozoic,30.320611061173,-109.56493377686,53.8,felsic,felsic,volcanic,volcanic
2567,VMS,Cenozoic,16.859871411637,120.77577662768,1.4300000000000002,other,other,felsic,felsic
3064,Magmatic sulfide,Unknown,-24.2972222,29.8791667,,mafic,mafic,mafic,mafic
3075,Magmatic sulfide,Unknown,-30.716666666667,29.299722222222,,mafic,mafic,volcanic,volcanic
3373,Porphyry,Unknown,31.9822222222,-111.063055556,,other,other,other,other
4331,Sediment-Hosted,Unknown,-11.6344444444,27.5808333333,,other,other,metamorphic,metamorphic
4343,Sediment-Hosted,Precambrian,-12.6819444444,27.9166666667,900.0,metamorphic,metamorphic,metamorphic,metamorphic
4345,Sediment-Hosted,Precambrian,-12.5227777778,28.2361111111,900.0,metamorphic,metamorphic,metamorphic,metamorphic
4346,Sediment-Hosted,Precambrian,-13.039544,28.713245,900.0,metamorphic,metamorphic,metamorphic,metamorphic
4349,Sediment-Hosted,Paleozoic,-12.833055555556,28.201666666667,511.5,volcanic,volcanic,metamorphic,metamorphic
4350,Sediment-Hosted,Unknown,-12.7733333333,28.1591666667,,volcanic,volcanic,metamorphic,metamorphic
