source,seed,topic,rank,trimmed_family,full_family,same_at_rank
Macrostrat,42,1,1,Cu_sulfides_primary,Cu_sulfides_primary,True
Macrostrat,42,1,2,Fe_sulfides,Fe_sulfides,True
Macrostrat,42,1,3,Zn_sulfides,Zn_sulfides,True
Macrostrat,42,1,4,Fe_oxides_hydroxides,Quartz,False
Macrostrat,42,1,5,Quartz,Fe_oxides_hydroxides,False
Macrostrat,42,1,6,Pb_sulfides,Pb_sulfides,True
Macrostrat,42,1,7,Carbonates,Ni_Co_sulfides_arsenides,False
Macrostrat,42,1,8,Ni_Co_sulfides_arsenides,Carbonates,False
Macrostrat,42,1,9,Other_silicates,Other_silicates,True
Macrostrat,42,1,10,Micas_sericite,Micas_sericite,True
Macrostrat,42,2,1,Cu_sulfides_supergene,Fe_sulfides,False
Macrostrat,42,2,2,Cu_carbonates_silicates,Cu_carbonates_silicates,True
Macrostrat,42,2,3,Native_elements_misc,Cu_sulfides_primary,False
Macrostrat,42,2,4,Cu_oxides,Cu_sulfides_supergene,False
Macrostrat,42,2,5,Halides_other,Fe_oxides_hydroxides,False
Macrostrat,42,2,6,Carbonates,Halides_other,False
Macrostrat,42,2,7,Quartz,Carbonates,False
Macrostrat,42,2,8,Cu_sulfides_other,Other_silicates,False
Macrostrat,42,2,9,Other_silicates,Cu_oxides,False
Macrostrat,42,2,10,Cu_sulfides_primary,Quartz,False
Macrostrat,42,3,1,Fe_sulfides,Fe_sulfides,True
Macrostrat,42,3,2,Cu_sulfides_primary,Cu_sulfides_primary,True
Macrostrat,42,3,3,Micas_sericite,Micas_sericite,True
Macrostrat,42,3,4,Mo_sulfides,Mo_sulfides,True
Macrostrat,42,3,5,Fe_oxides_hydroxides,Fe_oxides_hydroxides,True
Macrostrat,42,3,6,Cu_sulfides_supergene,Cu_sulfides_supergene,True
Macrostrat,42,3,7,Skarn_calc_silicates,Skarn_calc_silicates,True
Macrostrat,42,3,8,Zn_sulfides,Zn_sulfides,True
Macrostrat,42,3,9,Other_silicates,Other_silicates,True
Macrostrat,42,3,10,Cu_carbonates_silicates,Pb_sulfides,False
Macrostrat,42,4,1,As_Sb_Bi_sulfosalts,Native_elements_misc,False
Macrostrat,42,4,2,Other_silicates,Other_silicates,True
Macrostrat,42,4,3,Fe_sulfides,Quartz,False
Macrostrat,42,4,4,Skarn_calc_silicates,Cu_sulfides_other,False
Macrostrat,42,4,5,Native_elements_misc,Au_Ag_native,False
Macrostrat,42,4,6,Ni_Co_sulfides_arsenides,Carbonates,False
Macrostrat,42,4,7,Au_Ag_native,Cu_sulfides_supergene,False
Macrostrat,42,4,8,PGE_alloys_intermetallics,Ni_Co_sulfides_arsenides,False
Macrostrat,42,4,9,Oxides_misc,Cu_sulfides_primary,False
Macrostrat,42,4,10,Ti_oxides,Pb_sulfides,False
Macrostrat,42,5,1,Halides_fluorite,Cu_sulfides_primary,False
Macrostrat,42,5,2,Cu_sulfides_primary,Fe_sulfides,False
Macrostrat,42,5,3,Fe_sulfides,Zn_sulfides,False
Macrostrat,42,5,4,Skarn_calc_silicates,Cu_sulfides_other,False
Macrostrat,42,5,5,Evaporite_sulfates,Au_Ag_native,False
Macrostrat,42,5,6,Feldspars,Sulfates_other,False
Macrostrat,42,5,7,Carbonates,Cu_sulfides_supergene,False
