source,reference_seed,seed,topic,cosine_to_reference_seed
Macrostrat,42,42,1,0.9999999403953552
Macrostrat,42,42,2,1.0000001192092896
Macrostrat,42,42,3,1.0000001192092896
Macrostrat,42,42,4,0.9999998807907104
Macrostrat,42,42,5,0.9999998807907104
Macrostrat,42,42,6,1.0
Macrostrat,42,42,7,1.0000001192092896
Macrostrat,42,123,1,0.9999725818634033
Macrostrat,42,123,2,0.9996846914291382
Macrostrat,42,123,3,0.9999540448188782
Macrostrat,42,123,4,0.9997250437736511
Macrostrat,42,123,5,0.9984879493713379
Macrostrat,42,123,6,0.996757447719574
Macrostrat,42,123,7,0.9993581771850586
Macrostrat,42,7,1,0.9999793767929077
Macrostrat,42,7,2,0.9996606707572937
Macrostrat,42,7,3,0.9999691843986511
Macrostrat,42,7,4,0.9997765421867371
Macrostrat,42,7,5,0.9987785816192627
Macrostrat,42,7,6,0.9978214502334595
Macrostrat,42,7,7,0.9987867474555969
GLiM,42,42,1,1.0
GLiM,42,42,2,0.9999999403953552
GLiM,42,42,3,1.0
GLiM,42,42,4,1.0
GLiM,42,42,5,0.9999999403953552
GLiM,42,42,6,1.0
GLiM,42,42,7,0.9999999403953552
GLiM,42,123,1,0.9999377131462097
GLiM,42,123,2,0.9998968243598938
GLiM,42,123,3,0.9999231100082397
GLiM,42,123,4,0.9996063113212585
GLiM,42,123,5,0.99892657995224
GLiM,42,123,6,0.9997851848602295
GLiM,42,123,7,0.9988767504692078
GLiM,42,7,1,0.9999316334724426
GLiM,42,7,2,0.9998360276222229
GLiM,42,7,3,0.9999374747276306
GLiM,42,7,4,0.9992868304252625
GLiM,42,7,5,0.9989846348762512
GLiM,42,7,6,0.9997982978820801
GLiM,42,7,7,0.9992727637290955
