holdout_continent,K,split_number,n_inner_train,n_inner_validation,validation_perplexity,mean_topic_cosine,minimum_topic_cosine
Africa,5,1,927,232,27.167572102730148,0.9021106500382509,0.8683323546203264
Africa,5,2,927,232,27.440822488747006,0.8904471322552023,0.8606663286613427
Africa,5,3,927,232,27.59392225455497,0.9264198496949243,0.8725232098733662
Africa,6,1,927,232,28.228005244212962,0.9906417646822625,0.9654951625171114
Africa,6,2,927,232,28.833101262876177,0.8481248832289018,0.4141002867570237
Africa,6,3,927,232,29.07876249948822,0.942834310376683,0.9144585803941173
Africa,7,1,927,232,29.193337104382717,0.8412588180529469,0.08241415497568245
Africa,7,2,927,232,28.86827421674958,0.8145274988709641,0.04645375161296307
Africa,7,3,927,232,28.889593269684905,0.8465714006022659,0.26745758952694304
Africa,8,1,927,232,29.957320670348082,0.9245146450821684,0.6287921614931242
Africa,8,2,927,232,29.71507336531517,0.9226330651004031,0.6269345080279287
Africa,8,3,927,232,29.546327670373138,0.8513861043992711,0.07130910717806979
Africa,9,1,927,232,30.360542849915955,0.9436420028414223,0.8043676264077336
Africa,9,2,927,232,30.30559332814973,0.8957877996746464,0.6688848707716769
Africa,9,3,927,232,29.468591562843027,0.899115713914861,0.29496372669155846
