holdout_continent,K,split_number,n_inner_train,n_inner_validation,validation_perplexity,mean_topic_cosine,minimum_topic_cosine
Asia,5,1,710,178,28.183645947681235,0.9780066441361898,0.954253026537248
Asia,5,2,710,178,28.865349815170962,0.9866381485646357,0.9534342054135432
Asia,5,3,710,178,27.716343815243945,0.9136489678779954,0.857248163471127
Asia,6,1,710,178,29.102757733287145,0.7950266042022825,0.6071472841518805
Asia,6,2,710,178,29.53813212148448,0.7733704591303732,0.0567560866704436
Asia,6,3,710,178,28.586845310892326,0.8115605252587182,0.24975672715996666
Asia,7,1,710,178,30.16560601548269,0.9006558909570905,0.6624824905668981
Asia,7,2,710,178,31.060710740032313,0.884693331714515,0.746524974989365
Asia,7,3,710,178,29.47012115968071,0.9257245565217637,0.7655765843912372
Asia,8,1,710,178,30.585290932342986,0.8336716930011913,0.12198519294759788
Asia,8,2,710,178,31.662102029449088,0.8629810649308578,0.22594946842816244
Asia,8,3,710,178,30.03011959166067,0.8258945802707307,0.17295274586787537
Asia,9,1,710,178,31.86933177048808,0.8907592513972342,0.3588710045111723
Asia,9,2,710,178,32.30234500348975,0.8363814262995702,0.21075687430581896
Asia,9,3,710,178,30.202911101869496,0.7575794793018213,0.0002809373981069511
