holdout_continent,K,split_number,n_inner_train,n_inner_validation,validation_perplexity,mean_topic_cosine,minimum_topic_cosine
Europe,5,1,852,214,28.93032816751054,0.9775397322600059,0.9586426478861739
Europe,5,2,852,214,28.950729473765254,0.8860577170531565,0.8049782831641784
Europe,5,3,852,214,28.319364371160475,0.9553971894970672,0.9291189376752385
Europe,6,1,852,214,29.751503475297852,0.9768515481691796,0.9407958262223146
Europe,6,2,852,214,29.490607035890825,0.9730002753807553,0.9561242630464651
Europe,6,3,852,214,29.167312729551195,0.9656182469173119,0.9315832920580454
Europe,7,1,852,214,30.517383455470735,0.8590739622728712,0.3427316481515062
Europe,7,2,852,214,30.122776278577042,0.8106618064006793,0.23143617741548997
Europe,7,3,852,214,29.876302144484754,0.8267580252674768,0.22709288716888634
Europe,8,1,852,214,31.0913127309675,0.96330779871842,0.9190751792709165
Europe,8,2,852,214,31.12836949975855,0.8920056840767245,0.45570538651690945
Europe,8,3,852,214,31.016598755161848,0.9389655858073884,0.7571226034475236
Europe,9,1,852,214,31.846447992085874,0.9360796495080493,0.7019308404737403
Europe,9,2,852,214,31.132327832717984,0.8234718233454633,0.08600531226893277
Europe,9,3,852,214,30.559372122067405,0.9026498250830868,0.6179075540854424
