Mindat_id,Deposit_type,age_category,litho_class,Latitude_stage0,Longitude_stage0,age_midpoint_ma,Deposit_name,Country,Latitude_main,Longitude_main,lithology_A_class,lithology_A_status,lithology_B_class,lithology_B_status,Latitude,Longitude,coordinate_valid,Country_clean,continent_country,Macrostrat_lithology_status,GLiM_lithology_status,age_status,coordinate_status,Macrostrat_nonresolved,GLiM_nonresolved,age_unknown,coordinate_missing
125,IOCG,Unknown,metamorphic,-19.7023545167,134.244931032,,Juno,Australia,-19.7023545167,134.244931032,metamorphic,resolved,other,other,-19.7023545167,134.244931032,True,Australia,Oceania,resolved,other,unknown,valid,False,True,True,False
126,Sediment-Hosted,Precambrian,mafic,-17.386763822239,131.11581797283,630.0,Wave Hill,Australia,-17.386763822239,131.11581797283,mafic,resolved,volcanic,resolved,-17.386763822239,131.11581797283,True,Australia,Oceania,resolved,resolved,resolved,valid,False,False,False,False
132,IOCG,Precambrian,felsic,-21.540337655,140.498235602,1532.5,Mount Elliott,Australia,-21.540337655,140.498235602,felsic,resolved,metamorphic,resolved,-21.540337655,140.498235602,True,Australia,Oceania,resolved,resolved,resolved,valid,False,False,False,False
134,IOCG,Precambrian,metamorphic,-20.7195375299,140.510681958,1532.5,Great Australia,Australia,-20.7195375299,140.510681958,metamorphic,resolved,mafic,resolved,-20.7195375299,140.510681958,True,Australia,Oceania,resolved,resolved,resolved,valid,False,False,False,False
140,VMS,Paleozoic,felsic,-23.642494444444,150.37543055556,390.0,Mount Morgan,Australia,-23.642494444444,150.37543055556,felsic,resolved,volcanic,resolved,-23.642494444444,150.37543055556,True,Australia,Oceania,resolved,resolved,resolved,valid,False,False,False,False
152,Sediment-Hosted,Precambrian,carbonate,-33.6780555556,138.926388889,630.0,Burra,Australia,-33.6780555556,138.926388889,carbonate,resolved,other,other,-33.6780555556,138.926388889,True,Australia,Oceania,resolved,other,resolved,valid,False,True,False,False
163,Sediment-Hosted,Precambrian,carbonate,-31.44388961792,137.14721679688,630.0,Cattle Grid,Australia,-31.44388961792,137.14721679688,carbonate,resolved,other,other,-31.44388961792,137.14721679688,True,Australia,Oceania,resolved,other,resolved,valid,False,True,False,False
171,IOCG,Unknown,felsic,-33.908755555556,137.65188888889,,Wallaroo,Australia,-33.908755555556,137.65188888889,felsic,resolved,other,other,-33.908755555556,137.65188888889,True,Australia,Oceania,resolved,other,unknown,valid,False,True,True,False
231,VMS,Precambrian,mafic,-20.863855555556,117.83245555556,3200.0,Whim Creek,Australia,-20.863855555556,117.83245555556,mafic,resolved,siliciclastic,resolved,-20.863855555556,117.83245555556,True,Australia,Oceania,resolved,resolved,resolved,valid,False,False,False,False
506,Magmatic sulfide,Precambrian,felsic,55.7197625842,-97.8353118896,1847.0,Thompson,Canada,55.7197625842,-97.8353118896,felsic,resolved,metamorphic,resolved,55.7197625842,-97.8353118896,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
511,VMS,Paleozoic,mafic,49.89466,-56.081527,464.5,Rambler-Main,Canada,49.89466,-56.081527,mafic,resolved,volcanic,resolved,49.89466,-56.081527,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
559,VMS,Precambrian,felsic,46.4155555556,-81.3613888889,1500.0,Vermilion,Canada,46.4155555556,-81.3613888889,felsic,resolved,other,other,46.4155555556,-81.3613888889,True,Canada,North America,resolved,other,resolved,valid,False,True,False,False
579,VMS,Precambrian,volcanic,49.7197222222,-77.7180555556,2725.0,Mattagami Lake,Canada,49.7197222222,-77.7180555556,volcanic,resolved,volcanic,resolved,49.7197222222,-77.7180555556,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
609,VMS,Unknown,volcanic,48.25427,-79.011281,,Horne-Quemont,Canada,48.25427,-79.011281,volcanic,resolved,volcanic,resolved,48.25427,-79.011281,True,Canada,North America,resolved,resolved,unknown,valid,False,False,True,False
641,Porphyry,Cenozoic,other,-22.2894444444,-68.9011111111,33.035,Chuquicamata,Chile,-22.2894444444,-68.9011111111,other,other,felsic,resolved,-22.2894444444,-68.9011111111,True,Chile,South America,other,resolved,resolved,valid,True,False,False,False
648,VMS,Mesozoic,other,-27.5902777778,-70.35,150.5,Farola mine,Chile,-27.5902777778,-70.35,other,other,carbonate,resolved,-27.5902777778,-70.35,True,Chile,South America,other,resolved,resolved,valid,True,False,False,False
721,Magmatic sulfide,Paleozoic,other,41.992858333333,110.12308055556,367.0,Xiaonanshan,China,41.992858333333,110.12308055556,other,other,other,other,41.992858333333,110.12308055556,True,China,Asia,other,other,resolved,valid,True,True,False,False
