holdout_continent,seed,n_train,n_test,hgctm_log_prob_per_recorded_count,context_only_log_prob_per_recorded_count,global_dm_log_prob_per_recorded_count,hgctm_minus_context_mean_per_deposit,hgctm_minus_context_ci_low,hgctm_minus_context_ci_high,hgctm_beats_context_ci,context_minus_global_mean_per_deposit,context_beats_global_ci,hgctm_minus_global_mean_per_deposit,hgctm_beats_global_ci,fold_lda_mean_cosine_to_full_lda,fold_lda_minimum_cosine_to_full_lda,hgctm_mean_cosine_to_full_hgctm_posthoc,hgctm_minimum_cosine_to_full_hgctm_posthoc,hgctm_mean_cosine_to_fixed_fold_lda
Africa,42,1159,78,-1.4257435825761215,-1.4084658859946284,-1.3857965733544706,-0.31122004739740816,-0.5048628555902135,-0.13432696326027357,False,-0.40833825973617466,False,-0.7195583071335828,False,0.9459529194100168,0.8354196551671718,0.9853932772363935,0.9502606987953186,0.849582868949187
Africa,123,1159,78,-1.422825105373608,-1.4092627547523828,-1.3857965733544706,-0.24429618747207413,-0.47253676077152656,-0.043013134551678225,False,-0.422692113641875,False,-0.6669883011139489,False,0.9459529194100168,0.8354196551671718,0.9830809916768756,0.9418709874153137,0.8532118432764836
Africa,7,1159,78,-1.423386445191987,-1.4068639682794362,-1.3857965733544706,-0.2976164110529975,-0.5034296734577954,-0.11287896045898056,False,-0.37948320345611275,False,-0.6770996145091102,False,0.9459529194100168,0.8354196551671718,0.983240715094975,0.9431940317153931,0.8605906136095552
Asia,42,888,349,-1.2756873657961758,-1.2689310869893007,-1.2820367557421701,-0.13030519383689199,-0.23670954452088683,-0.01672041080013936,False,0.25276291225089853,True,0.12245771841400652,False,0.834092318670564,0.25874055202353535,0.7422595747879573,0.1781245768070221,0.9115621897116121
Asia,123,888,349,-1.2762066727877133,-1.2686121154822612,-1.2820367557421701,-0.1464726797220549,-0.26390536635173184,-0.0293637424178531,False,0.25891476673194036,True,0.11244208700988542,False,0.834092318670564,0.25874055202353535,0.741509952715465,0.47361329197883606,0.9200465680855122
Asia,7,888,349,-1.275550913221265,-1.2684113924739369,-1.2820367557421701,-0.13769660214975799,-0.26093966007253777,-0.03377172612845039,False,0.26278601764607123,True,0.12508941549631328,False,0.834092318670564,0.25874055202353535,0.7406708342688424,0.45858752727508545,0.9131878240270842
Europe,42,1066,171,-1.2077421504161263,-1.1922152679934883,-1.1870684162733967,-0.37282677910731554,-0.6989478826894059,-0.09458452288510073,False,-0.12358463837834421,False,-0.49641141748565976,False,0.9774726484948143,0.9239928653062494,0.9362282497542245,0.7806655764579773,0.8407421065337756
Europe,123,1066,171,-1.2107544662236287,-1.1928545479130912,-1.1870684162733967,-0.4298073952226168,-0.7655528824420986,-0.1706188199381976,False,-0.13893483340693502,False,-0.5687422286295517,False,0.9774726484948143,0.9239928653062494,0.9176435981478009,0.7687695622444153,0.8303994973032826
Europe,7,1066,171,-1.2113409697632165,-1.1920402076482643,-1.1870684162733967,-0.4634440306666219,-0.7724781290016342,-0.16588258018857718,False,-0.11938114260355359,False,-0.5828251732701754,False,0.9774726484948143,0.9239928653062494,0.930048269884927,0.7700116038322449,0.8408522859538464
North America,42,871,366,-1.2930319123093605,-1.281735846168801,-1.3039221501212048,-0.2160758443990621,-0.33020590828222385,-0.10799887919570687,False,0.4243888359857335,True,0.20831299158667144,True,0.9000483662017416,0.5516631725883594,0.7685461555208478,0.5686655044555664,0.8079791722847943
North America,123,871,366,-1.2918530774626018,-1.2819321803031594,-1.3039221501212048,-0.18977104101982423,-0.3047692939652197,-0.086448378926673,False,0.42063327512605453,True,0.2308622341062303,True,0.9000483662017416,0.5516631725883594,0.7760929891041347,0.5947576761245728,0.8037484372909395
North America,7,871,366,-1.2926940987624824,-1.2822842985352372,-1.3039221501212048,-0.19912298194247002,-0.3058015085073729,-0.09180669965481532,False,0.41389781134797865,True,0.21477482940550865,True,0.9000483662017416,0.5516631725883594,0.7718116215297154,0.5669497847557068,0.8026618650251053
Oceania,42,1117,120,-1.2654545348602089,-1.258243588401018,-1.2667296154344205,-0.15275188249386398,-0.3611755163087135,0.042519464310538706,False,0.1797623393242543,False,0.027010456830390352,False,0.8377294459062663,0.31115573870468866,0.7475075259405587,0.004771326202899218,0.9368041793900487
Oceania,123,1117,120,-1.2625742871945558,-1.257655024811915,-1.2667296154344205,-0.10420637480560463,-0.3133563203288416,0.09118860254617894,False,0.19223007802008066,False,0.08802370321447602,False,0.8377294459062663,0.31115573870468866,0.7444585333578289,0.004858274478465319,0.9409817653251064
Oceania,7,1117,120,-1.2630681906280194,-1.2566759747988228,-1.2667296154344205,-0.13540843864847957,-0.3449425704373609,0.07358515774225757,False,0.2129696207974136,False,0.07756118214893402,False,0.8377294459062663,0.31115573870468866,0.7473756982944906,0.0051123895682394505,0.9375080357556562
South America,42,1084,153,-1.2628549840091887,-1.271415626160612,-1.2935732853978392,0.16365933524779802,0.015850018257537277,0.2911776473477969,True,0.42360230894699585,True,0.5872616441947939,True,0.8110332437639229,0.2978065977767013,0.7354269505345395,0.004620707593858242,0.9212207566518803
South America,123,1084,153,-1.2640927222854397,-1.2714614641236628,-1.2935732853978392,0.1408730057307347,0.011188853853183727,0.26917828348276407,True,0.4227259949474961,True,0.5635990006782308,True,0.8110332437639229,0.2978065977767013,0.7276664497996015,0.005058194976300001,0.9206154857821234
