Deposit_type,Macrostrat_lithology_status,count,group_total,percent_within_group,cohort,status_variable,grouping,continent_country,GLiM_lithology_status,age_status,coordinate_status
IOCG,other,15,90,16.666666666666668,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
IOCG,resolved,67,90,74.44444444444444,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
IOCG,unknown,8,90,8.88888888888889,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
Magmatic sulfide,other,33,96,34.375,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
Magmatic sulfide,resolved,48,96,50.0,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
Magmatic sulfide,unknown,15,96,15.625,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
Porphyry,other,225,612,36.76470588235294,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
Porphyry,resolved,370,612,60.45751633986928,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
Porphyry,unknown,17,612,2.7777777777777777,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
Sediment-Hosted,other,45,159,28.30188679245283,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
Sediment-Hosted,resolved,93,159,58.490566037735846,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
Sediment-Hosted,unknown,21,159,13.20754716981132,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
VMS,other,57,378,15.079365079365079,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
VMS,resolved,282,378,74.60317460317461,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
VMS,unknown,39,378,10.317460317460318,full_model_1335,Macrostrat_lithology_status,Deposit_type,,,,
,other,26,82,31.70731707317073,full_model_1335,Macrostrat_lithology_status,continent_country,Africa,,,
,resolved,52,82,63.41463414634146,full_model_1335,Macrostrat_lithology_status,continent_country,Africa,,,
,unknown,4,82,4.878048780487805,full_model_1335,Macrostrat_lithology_status,continent_country,Africa,,,
,other,195,376,51.861702127659576,full_model_1335,Macrostrat_lithology_status,continent_country,Asia,,,
,resolved,153,376,40.691489361702125,full_model_1335,Macrostrat_lithology_status,continent_country,Asia,,,
,unknown,28,376,7.446808510638298,full_model_1335,Macrostrat_lithology_status,continent_country,Asia,,,
,other,21,196,10.714285714285714,full_model_1335,Macrostrat_lithology_status,continent_country,Europe,,,
,resolved,150,196,76.53061224489795,full_model_1335,Macrostrat_lithology_status,continent_country,Europe,,,
,unknown,25,196,12.755102040816327,full_model_1335,Macrostrat_lithology_status,continent_country,Europe,,,
,other,22,394,5.583756345177665,full_model_1335,Macrostrat_lithology_status,continent_country,North America,,,
,resolved,343,394,87.05583756345177,full_model_1335,Macrostrat_lithology_status,continent_country,North America,,,
,unknown,29,394,7.3604060913705585,full_model_1335,Macrostrat_lithology_status,continent_country,North America,,,
,other,9,121,7.43801652892562,full_model_1335,Macrostrat_lithology_status,continent_country,Oceania,,,
,resolved,111,121,91.73553719008264,full_model_1335,Macrostrat_lithology_status,continent_country,Oceania,,,
,unknown,1,121,0.8264462809917356,full_model_1335,Macrostrat_lithology_status,continent_country,Oceania,,,
,other,102,165,61.81818181818182,full_model_1335,Macrostrat_lithology_status,continent_country,South America,,,
,resolved,51,165,30.90909090909091,full_model_1335,Macrostrat_lithology_status,continent_country,South America,,,
,unknown,12,165,7.2727272727272725,full_model_1335,Macrostrat_lithology_status,continent_country,South America,,,
,unknown,1,1,100.0,full_model_1335,Macrostrat_lithology_status,continent_country,Unknown,,,
IOCG,resolved,3,3,100.0,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Africa,,,
IOCG,other,10,17,58.8235294117647,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
IOCG,resolved,6,17,35.294117647058826,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
IOCG,unknown,1,17,5.882352941176471,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
IOCG,resolved,10,11,90.9090909090909,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Europe,,,
IOCG,unknown,1,11,9.090909090909092,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Europe,,,
IOCG,resolved,11,13,84.61538461538461,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,North America,,,
IOCG,unknown,2,13,15.384615384615385,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,North America,,,
IOCG,other,1,28,3.5714285714285716,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Oceania,,,
IOCG,resolved,26,28,92.85714285714286,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Oceania,,,
IOCG,unknown,1,28,3.5714285714285716,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Oceania,,,
IOCG,other,4,18,22.22222222222222,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,South America,,,
IOCG,resolved,11,18,61.111111111111114,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,South America,,,
IOCG,unknown,3,18,16.666666666666668,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,South America,,,
Magmatic sulfide,resolved,17,19,89.47368421052632,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Africa,,,
Magmatic sulfide,unknown,2,19,10.526315789473685,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Africa,,,
Magmatic sulfide,other,30,47,63.829787234042556,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
Magmatic sulfide,resolved,8,47,17.02127659574468,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
Magmatic sulfide,unknown,9,47,19.148936170212767,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Asia,,,
Magmatic sulfide,other,1,8,12.5,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Europe,,,
Magmatic sulfide,resolved,3,8,37.5,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Europe,,,
Magmatic sulfide,unknown,4,8,50.0,full_model_1335,Macrostrat_lithology_status,Deposit_type × continent_country,Europe,,,
